"RefSeq.mRNA" "Transcript_length" "UTR_length"
"60429" "" 1927 166
"60430" "" 1927 133
"60431" "" 1927 121
"60432" "" 1927 186
"60433" "" 1927 371
"60434" "NM_001278786" 754 211
"60435" "" 1644 870
"60436" "NM_003589" 3724 1494
"60437" "NM_001136180" 771 370
"60438" "NM_001142653" 557 157
"60439" "NM_001257968" 3611 327
"60440" "" 514 77
"60441" "NM_001126111" 4266 2355
"60442" "NM_001122634" 4770 1121
"60443" "" 1053 40
"60444" "" 1053 185
"60445" "NM_018833" 2497 455
"60446" "NM_001144961" 1401 217
"60447" "NM_001320" 948 143
"60448" "NM_001282385" 948 143
"60449" "" 766 341
"60450" "NM_001166538" 555 232
"60451" "NM_001201326" 1897 583
"60452" "NM_004639" 3755 106
"60453" "" 960 118
"60454" "" 1382 19
"60455" "" 1382 494
"60456" "NM_001166425" 1486 23
"60457" "NM_001166425" 1486 329
"60458" "" 3056 1354
"60459" "" 3056 559
"60460" "" 3056 60
"60461" "" 3056 560
"60462" "" 873 60
"60463" "" 521 16
"60464" "" 575 76
"60465" "" 575 383
"60466" "" 1464 1026
"60467" "" 3123 100
"60468" "" 3123 76
"60469" "" 3123 111
"60470" "" 3123 76
"60471" "" 3123 144
"60472" "" 3123 68
"60473" "" 3123 90
"60474" "" 3123 145
"60475" "" 3123 111
"60476" "" 3123 81
"60477" "" 3123 80
"60478" "" 3123 116
"60479" "" 3123 97
"60480" "" 3123 183
"60481" "" 3123 94
"60482" "" 3123 1377
"60483" "" 582 79
"60484" "" 582 142
"60485" "" 1166 709
"60486" "NM_001276318" 4773 137
"60487" "NM_001276318" 4773 106
"60488" "NM_001276318" 4773 140
"60489" "NM_001276318" 4773 3274
"60490" "NM_001040196" 809 304
"60491" "" 1162 95
"60492" "" 779 81
"60493" "NM_080743" 3599 2618
"60494" "" 461 46
"60495" "" 461 76
"60496" "" 1726 862
"60497" "" 1956 244
"60498" "" 1956 726
"60499" "" 1956 99
"60500" "" 1956 70
"60501" "" 1956 206
"60502" "" 1956 106
"60503" "" 1956 56
"60504" "" 2297 167
"60505" "NM_001146158" 2568 216
"60506" "NM_001077415" 1778 419
"60507" "" 395 56
"60508" "NM_004761" 3278 447
"60509" "NM_001243738" 3278 447
"60510" "NM_001080976" 10586 7514
"60511" "" 2334 7
"60512" "NM_024760" 1883 174
"60513" "" 2099 355
"60514" "" 1996 859
"60515" "" 583 105
"60516" "" 583 217
"60517" "" 3282 81
"60518" "" 3282 65
"60519" "" 3282 116
"60520" "" 3282 1132
"60521" "" 1663 183
"60522" "" 1663 117
"60523" "" 1663 207
"60524" "" 1663 147
"60525" "" 1663 146
"60526" "" 1663 182
"60527" "" 1663 176
"60528" "" 1663 72
"60529" "" 1663 302
"60530" "NM_001322963" 953 478
"60531" "" 524 223
"60532" "" 3428 311
"60533" "NM_001130406" 1847 947
"60534" "" 4016 715
"60535" "" 576 1
"60536" "" 576 184
"60537" "" 576 150
"60538" "" 575 91
"60539" "" 674 139
"60540" "" 674 137
"60541" "" 674 136
"60542" "NM_002752" 4815 3240
"60543" "" 755 285
"60544" "" 755 57
"60545" "NM_001033024" 1535 77
"60546" "" 392 45
"60547" "" 392 119
"60548" "" 392 52
"60549" "NM_001290008" 2115 460
"60550" "NM_001190810" 2387 297
"60551" "" 5240 118
"60552" "" 5240 85
"60553" "" 5240 72
"60554" "" 5240 151
"60555" "" 5240 81
"60556" "" 5240 94
"60557" "" 5240 127
"60558" "" 5240 142
"60559" "" 5240 3981
"60560" "" 2359 25
"60561" "" 2359 131
"60562" "" 2359 190
"60563" "" 2359 549
"60564" "" 2359 188
"60565" "" 2359 219
"60566" "" 2359 132
"60567" "" 2359 213
"60568" "" 2359 183
"60569" "" 2359 117
"60570" "" 2359 169
"60571" "NM_001144997" 3763 485
"60572" "NM_205837" 734 323
"60573" "" 927 213
"60574" "" 1403 101
"60575" "" 1403 74
"60576" "" 1403 177
"60577" "" 1403 59
"60578" "" 1403 25
"60579" "" 1403 108
"60580" "" 1403 96
"60581" "" 1403 172
"60582" "" 1403 60
"60583" "" 1818 16
"60584" "" 1818 41
"60585" "" 1818 1239
"60586" "" 3872 1176
"60587" "" 3872 418
"60588" "" 3872 63
"60589" "" 3872 88
"60590" "" 3872 30
"60591" "" 3872 368
"60592" "" 3872 375
"60593" "NM_030652" 1310 324
"60594" "" 748 5
"60595" "NM_001142469" 1865 1244
"60596" "NM_001135564" 2643 898
"60597" "NM_001011700" 955 296
"60598" "" 759 292
"60599" "" 1353 553
"60600" "" 663 21
"60601" "" 913 25
"60602" "" 913 44
"60603" "" 913 150
"60604" "" 913 55
"60605" "" 913 84
"60606" "" 913 144
"60607" "" 913 201
"60608" "" 1723 1026
"60609" "" 576 85
"60610" "" 576 93
"60611" "" 576 34
"60612" "" 459 110
"60613" "" 459 98
"60614" "NM_206814" 1587 1190
"60615" "NM_052923" 4877 280
"60616" "" 717 84
"60617" "NM_001287031" 1296 258
"60618" "" 2625 40
"60619" "" 2625 253
"60620" "" 2625 71
"60621" "" 2625 231
"60622" "" 2625 132
"60623" "" 2625 78
"60624" "" 2625 111
"60625" "" 2625 233
"60626" "" 594 46
"60627" "" 2686 1252
"60628" "NM_001137549" 345 55
"60629" "" 1448 13
"60630" "" 1448 170
"60631" "" 1448 90
"60632" "" 1448 185
"60633" "" 1448 131
"60634" "" 1448 116
"60635" "" 1448 101
"60636" "" 1448 71
"60637" "" 1448 74
"60638" "" 1448 157
"60639" "" 832 66
"60640" "" 832 80
"60641" "NM_001166034" 1945 142
"60642" "" 3966 138
"60643" "" 1787 215
"60644" "" 1787 125
"60645" "" 1787 85
"60646" "" 1787 109
"60647" "" 1787 117
"60648" "" 1787 153
"60649" "" 1787 60
"60650" "" 1787 72
"60651" "" 1787 85
"60652" "" 1787 135
"60653" "" 1787 41
"60654" "" 1787 353
"60655" "" 2594 110
"60656" "" 2594 158
"60657" "" 2594 92
"60658" "" 2594 59
"60659" "" 2594 29
"60660" "" 2594 93
"60661" "" 2594 41
"60662" "" 2594 83
"60663" "" 2594 98
"60664" "" 2594 135
"60665" "" 2594 49
"60666" "" 2594 94
"60667" "" 2594 145
"60668" "" 2594 185
"60669" "" 2594 260
"60670" "" 1312 324
"60671" "" 609 2
"60672" "" 609 135
"60673" "" 609 84
"60674" "NM_001145467" 874 36
"60675" "" 1909 263
"60676" "NM_021903" 4070 1312
"60677" "" 1754 727
"60678" "NM_001143770" 3344 322
"60679" "NM_001143771" 3344 322
"60680" "" 709 25
"60681" "" 709 166
"60682" "" 709 157
"60683" "" 1406 51
"60684" "NM_001010877" 2643 128
"60685" "" 6799 1977
"60686" "NM_001178063" 1999 313
"60687" "NM_001168467" 2233 25
"60688" "NM_001168467" 2233 59
"60689" "NM_001287437" 5544 2961
"60690" "NM_025258" 2881 3
"60691" "" 1010 253
"60692" "" 2495 152
"60693" "NM_001093730" 2051 196
"60694" "NM_001301012" 2411 96
"60695" "" 2616 80
"60696" "" 1357 6
"60697" "" 1357 103
"60698" "" 1357 97
"60699" "" 1357 310
"60700" "NM_002534" 1990 704
"60701" "" 846 59
"60702" "" 2040 77
"60703" "" 2040 176
"60704" "" 2040 663
"60705" "NM_001243131" 1455 909
"60706" "NM_000544" 5511 3266
"60707" "NM_001290043" 5511 3266
"60708" "NM_001101653" 917 408
"60709" "" 600 199
"60710" "" 991 49
"60711" "" 991 480
"60712" "" 2778 47
"60713" "" 2778 63
"60714" "" 2778 150
"60715" "" 2778 121
"60716" "" 2778 109
"60717" "" 2778 117
"60718" "" 2778 50
"60719" "" 2778 21
"60720" "" 2778 151
"60721" "" 2778 143
"60722" "" 2778 68
"60723" "" 2778 83
"60724" "" 2778 480
"60725" "NM_001128590" 1942 535
"60726" "" 2933 75
"60727" "" 2933 150
"60728" "" 2933 152
"60729" "" 2933 1824
"60730" "" 2103 1063
"60731" "" 5082 64
"60732" "" 5082 240
"60733" "" 5082 157
"60734" "" 5082 207
"60735" "" 5082 197
"60736" "" 5082 1298
"60737" "" 5082 214
"60738" "" 5082 38
"60739" "" 5082 355
"60740" "" 5082 106
"60741" "" 5082 76
"60742" "" 5082 1344
"60743" "NM_001321703" 8447 3869
"60744" "NM_001321707" 8447 3869
"60745" "NM_001321713" 8447 3869
"60746" "NM_006540" 8447 3869
"60747" "NM_001308036" 1133 233
"60748" "" 1347 358
"60749" "" 589 17
"60750" "" 589 65
"60751" "" 1556 115
"60752" "" 1556 121
"60753" "" 1556 105
"60754" "" 1556 258
"60755" "" 1556 209
"60756" "" 1556 453
"60757" "NM_006411" 2234 1063
"60758" "" 1010 253
"60759" "" 737 423
"60760" "NM_013993" 3857 855
"60761" "NM_052955" 2313 174
"60762" "NM_006159" 3196 651
"60763" "NM_001135947" 2944 2502
"60764" "NM_182644" 2546 838
"60765" "" 4706 131
"60766" "" 4706 134
"60767" "NM_001254751" 1782 2
"60768" "NM_001204078" 1261 945
"60769" "NM_001254718" 3861 236
"60770" "" 567 154
"60771" "" 567 46
"60772" "NM_001177711" 1547 150
"60773" "NM_001253775" 1105 15
"60774" "NM_001204255" 1495 426
"60775" "NM_001145725" 1468 184
"60776" "" 1733 321
"60777" "NM_001193397" 2526 1480
"60778" "NM_001267058" 2271 1366
"60779" "" 581 82
"60780" "" 581 89
"60781" "" 581 74
"60782" "" 581 47
"60783" "" 544 215
"60784" "" 373 4
"60785" "" 373 178
"60786" "" 12954 3593
"60787" "NM_001300860" 5689 2431
"60788" "" 638 189
"60789" "NM_001090" 3250 730
"60790" "NM_012063" 4439 2141
"60791" "" 1773 787
"60792" "" 544 98
"60793" "" 544 183
"60794" "" 544 53
"60795" "" 865 33
"60796" "" 865 418
"60797" "NM_001282651" 1563 286
"60798" "" 4751 5
"60799" "" 4751 95
"60800" "" 4751 107
"60801" "" 4751 117
"60802" "" 4751 69
"60803" "" 4751 109
"60804" "" 4751 127
"60805" "" 4751 143
"60806" "" 4751 185
"60807" "" 4751 126
"60808" "" 4751 65
"60809" "" 4751 126
"60810" "" 4751 3240
"60811" "" 580 296
"60812" "" 2111 727
"60813" "" 2111 727
"60814" "NM_004159" 1351 241
"60815" "" 5936 508
"60816" "" 5936 140
"60817" "" 5936 95
"60818" "" 5936 95
"60819" "" 5936 95
"60820" "" 5936 95
"60821" "" 5936 95
"60822" "" 5936 95
"60823" "" 5936 95
"60824" "" 5936 95
"60825" "" 5936 103
"60826" "" 5936 279
"60827" "" 1127 27
"60828" "" 1127 357
"60829" "" 960 54
"60830" "" 960 141
"60831" "" 960 160
"60832" "NM_181361" 1455 203
"60833" "NM_001294340" 3211 98
"60834" "NM_001204388" 3053 362
"60835" "NM_002119" 3488 2658
"60836" "NM_006120" 1126 253
"60837" "NM_001136225" 1827 303
"60838" "NM_001040113" 6886 7
"60839" "NM_001040113" 6886 951
"60840" "NM_025258" 2881 3
"60841" "" 2985 286
"60842" "NM_001195131" 962 197
"60843" "NM_001288634" 2836 879
"60844" "" 674 184
"60845" "" 674 175
"60846" "" 674 51
"60847" "NM_032626" 854 365
"60848" "" 2763 1409
"60849" "NM_001185181" 740 87
"60850" "" 897 480
"60851" "" 2355 225
"60852" "NM_001024649" 4207 2280
"60853" "NM_001172674" 4553 1602
"60854" "NM_021959" 1731 1026
"60855" "NM_001258459" 2226 770
"60856" "NM_001322816" 2045 1544
"60857" "NM_001145282" 1352 41
"60858" "NM_032454" 1557 396
"60859" "NM_001135197" 2315 440
"60860" "" 3673 157
"60861" "" 3673 122
"60862" "" 3673 134
"60863" "" 3673 149
"60864" "" 3673 164
"60865" "" 3673 272
"60866" "" 3673 336
"60867" "" 3673 1150
"60868" "" 3673 790
"60869" "NM_001103151" 3113 1426
"60870" "NM_001141973" 3981 262
"60871" "" 780 253
"60872" "" 3249 1469
"60873" "NM_001128590" 1939 535
"60874" "" 1134 27
"60875" "" 1134 364
"60876" "NM_014333" 8588 7237
"60877" "" 453 155
"60878" "" 886 112
"60879" "" 886 174
"60880" "" 886 169
"60881" "" 886 187
"60882" "NM_004228" 4780 3103
"60883" "NM_206812" 2138 1182
"60884" "NM_206809" 2138 1182
"60885" "" 846 4
"60886" "" 846 343
"60887" "" 846 289
"60888" "" 2105 125
"60889" "" 509 304
"60890" "" 874 199
"60891" "" 874 136
"60892" "" 874 176
"60893" "" 619 323
"60894" "NM_001178063" 1895 314
"60895" "NM_001289009" 2423 266
"60896" "NM_001122681" 2265 458
"60897" "" 672 325
"60898" "" 708 22
"60899" "" 708 130
"60900" "" 708 43
"60901" "NM_001158" 2572 355
"60902" "NM_001320473" 1846 144
"60903" "NM_001320473" 1846 1452
"60904" "NM_001102576" 627 306
"60905" "" 6410 4210
"60906" "NM_001171944" 3717 1588
"60907" "NM_001207068" 1473 64
"60908" "" 781 406
"60909" "NM_001321326" 2045 1092
"60910" "" 1964 96
"60911" "" 1964 106
"60912" "" 1964 137
"60913" "" 1964 70
"60914" "" 1964 70
"60915" "" 1964 44
"60916" "" 1964 166
"60917" "" 1964 118
"60918" "" 1964 236
"60919" "NM_181807" 1706 438
"60920" "" 747 415
"60921" "" 672 218
"60922" "" 453 86
"60923" "" 453 90
"60924" "" 453 94
"60925" "" 453 19
"60926" "NM_001146702" 6096 1422
"60927" "" 1944 47
"60928" "" 1944 79
"60929" "" 1944 97
"60930" "" 1944 83
"60931" "" 1944 1297
"60932" "" 2877 1013
"60933" "" 2363 57
"60934" "" 2363 45
"60935" "" 2363 163
"60936" "" 2363 70
"60937" "" 2363 1149
"60938" "" 2363 318
"60939" "NM_002628" 1780 1262
"60940" "" 616 144
"60941" "" 2158 1305
"60942" "" 1601 626
"60943" "NM_000378" 2768 1273
"60944" "" 3916 2588
"60945" "" 3916 83
"60946" "" 3916 116
"60947" "" 3916 118
"60948" "" 3916 764
"60949" "" 580 181
"60950" "" 580 190
"60951" "" 580 127
"60952" "" 1618 37
"60953" "" 1618 79
"60954" "" 1618 107
"60955" "" 1618 338
"60956" "" 1618 167
"60957" "" 1618 120
"60958" "" 1618 76
"60959" "" 644 190
"60960" "" 644 116
"60961" "" 644 166
"60962" "" 1841 865
"60963" "" 833 185
"60964" "NM_014070" 1140 157
"60965" "NM_001270365" 2758 217
"60966" "NM_001099668" 585 18
"60967" "" 1284 74
"60968" "" 1284 251
"60969" "" 495 120
"60970" "NM_001321699" 6176 2852
"60971" "NM_001017392" 6176 2852
"60972" "NM_001130107" 2453 340
"60973" "NM_001308076" 2199 85
"60974" "NM_001163771" 1194 106
"60975" "" 3859 24
"60976" "" 3859 91
"60977" "" 3859 2969
"60978" "" 1513 255
"60979" "NM_001206936" 1369 28
"60980" "NM_001206936" 1369 271
"60981" "NM_001206954" 1369 28
"60982" "NM_001206954" 1369 271
"60983" "NM_001206966" 1369 28
"60984" "NM_001206966" 1369 271
"60985" "NM_001206940" 1369 28
"60986" "NM_001206940" 1369 271
"60987" "" 922 293
"60988" "" 507 207
"60989" "" 923 80
"60990" "" 5675 183
"60991" "" 5675 83
"60992" "" 5675 5035
"60993" "NM_001278699" 791 238
"60994" "NM_001286372" 3177 2302
"60995" "" 3508 56
"60996" "" 3508 438
"60997" "" 1464 423
"60998" "" 818 53
"60999" "" 2559 562
"61000" "NM_001320" 948 143
"61001" "NM_001282385" 948 143
"61002" "" 878 65
"61003" "" 878 149
"61004" "" 878 105
"61005" "" 878 80
"61006" "" 878 309
"61007" "" 1789 554
"61008" "" 460 25
"61009" "" 564 23
"61010" "" 564 196
"61011" "" 564 98
"61012" "" 1857 423
"61013" "NM_001271948" 2569 437
"61014" "" 1624 402
"61015" "" 722 328
"61016" "" 721 198
"61017" "NM_001145208" 1569 123
"61018" "" 2841 11
"61019" "" 2841 76
"61020" "" 618 248
"61021" "NM_001301371" 729 101
"61022" "" 536 74
"61023" "" 536 99
"61024" "" 536 119
"61025" "" 909 195
"61026" "NM_001136155" 1595 276
"61027" "" 2394 218
"61028" "" 731 68
"61029" "" 731 116
"61030" "" 731 197
"61031" "" 731 142
"61032" "" 3960 163
"61033" "" 3960 79
"61034" "" 3960 184
"61035" "" 3960 105
"61036" "" 3960 187
"61037" "" 3960 122
"61038" "" 3960 170
"61039" "" 3960 120
"61040" "" 3960 184
"61041" "" 3960 131
"61042" "" 3960 140
"61043" "" 3960 111
"61044" "" 3960 166
"61045" "" 3960 165
"61046" "" 3960 124
"61047" "" 3960 101
"61048" "" 3960 197
"61049" "" 3960 70
"61050" "" 3960 222
"61051" "" 3960 115
"61052" "" 3960 204
"61053" "" 3960 122
"61054" "" 3960 179
"61055" "" 3960 158
"61056" "" 3960 131
"61057" "NM_001003693" 920 3
"61058" "" 572 139
"61059" "" 572 95
"61060" "" 572 81
"61061" "" 665 435
"61062" "" 665 18
"61063" "" 1525 428
"61064" "NM_002800" 782 52
"61065" "NM_001127178" 3218 159
"61066" "" 1027 181
"61067" "" 1038 15
"61068" "NM_001281467" 2239 701
"61069" "" 501 197
"61070" "" 9542 6101
"61071" "NM_001177663" 8053 550
"61072" "NM_001142307" 2707 391
"61073" "NM_001039960" 11824 8324
"61074" "" 634 60
"61075" "" 634 78
"61076" "" 634 89
"61077" "NM_001101389" 754 14
"61078" "" 423 142
"61079" "" 423 131
"61080" "" 1409 142
"61081" "" 1409 67
"61082" "" 1409 192
"61083" "" 1409 61
"61084" "" 1409 81
"61085" "" 1409 92
"61086" "" 1409 125
"61087" "" 1409 129
"61088" "" 1409 35
"61089" "" 1409 130
"61090" "" 1409 208
"61091" "" 577 117
"61092" "NM_004640" 2133 214
"61093" "" 898 20
"61094" "" 898 118
"61095" "" 898 157
"61096" "" 898 11
"61097" "" 556 11
"61098" "" 556 193
"61099" "" 556 59
"61100" "" 556 55
"61101" "NM_001256011" 3366 773
"61102" "NM_001256010" 3366 773
"61103" "" 2821 1513
"61104" "NM_001281451" 1599 9
"61105" "NM_024622" 2967 75
"61106" "" 529 56
"61107" "" 529 158
"61108" "" 529 149
"61109" "NM_144781" 2657 1938
"61110" "" 581 74
"61111" "" 665 87
"61112" "" 665 134
"61113" "" 665 112
"61114" "" 665 106
"61115" "NM_001143782" 959 425
"61116" "" 742 3
"61117" "NM_001135685" 2412 28
"61118" "" 4472 224
"61119" "" 4472 58
"61120" "" 4472 160
"61121" "" 4472 86
"61122" "" 4472 110
"61123" "" 4472 123
"61124" "" 4472 152
"61125" "" 4472 145
"61126" "" 4472 99
"61127" "" 4472 32
"61128" "" 4472 99
"61129" "" 4472 91
"61130" "" 4472 28
"61131" "" 4472 73
"61132" "" 4472 88
"61133" "" 4472 91
"61134" "" 4472 2151
"61135" "NM_001127671" 4253 626
"61136" "NM_001242783" 3318 1420
"61137" "NM_182944" 6785 452
"61138" "NM_001077663" 4042 751
"61139" "NM_001077511" 3040 1498
"61140" "" 571 26
"61141" "NM_012170" 1486 568
"61142" "NM_001300956" 956 54
"61143" "" 1068 136
"61144" "" 1068 141
"61145" "" 1068 213
"61146" "" 1068 100
"61147" "" 1068 281
"61148" "" 5877 89
"61149" "" 382 87
"61150" "" 577 94
"61151" "" 577 78
"61152" "NM_001164730" 940 305
"61153" "NM_025263" 2254 1227
"61154" "" 475 16
"61155" "" 475 217
"61156" "" 936 143
"61157" "" 4275 120
"61158" "" 4275 275
"61159" "" 4275 92
"61160" "" 4275 105
"61161" "" 4275 101
"61162" "" 1040 27
"61163" "NM_001323030" 1230 113
"61164" "" 649 100
"61165" "NM_001098175" 5044 3311
"61166" "" 553 79
"61167" "" 553 51
"61168" "NM_007028" 2043 638
"61169" "NM_020851" 2812 133
"61170" "NM_139315" 2464 175
"61171" "NM_001145157" 1712 213
"61172" "NM_206810" 1560 917
"61173" "" 632 41
"61174" "" 632 72
"61175" "" 632 15
"61176" "NM_148906" 2842 679
"61177" "" 1819 809
"61178" "NM_003728" 9875 6729
"61179" "" 740 109
"61180" "" 740 400
"61181" "" 1068 0
"61182" "" 1068 49
"61183" "" 1068 562
"61184" "" 1375 989
"61185" "" 452 255
"61186" "NM_001098624" 6393 4057
"61187" "NM_153704" 4651 1604
"61188" "NM_001277423" 1747 193
"61189" "" 1481 290
"61190" "" 571 95
"61191" "" 571 86
"61192" "NM_001085428" 1650 115
"61193" "" 2823 1028
"61194" "" 844 50
"61195" "" 601 152
"61196" "" 7002 4098
"61197" "" 632 112
"61198" "" 471 85
"61199" "NM_001130032" 2111 669
"61200" "NM_001130031" 2111 669
"61201" "NM_001006631" 2014 375
"61202" "NM_001006629" 2014 375
"61203" "NM_001144962" 1411 217
"61204" "NM_001144963" 1411 217
"61205" "" 2039 81
"61206" "" 2039 342
"61207" "" 2039 127
"61208" "" 2039 92
"61209" "" 2039 183
"61210" "" 2039 118
"61211" "" 2039 131
"61212" "" 2039 109
"61213" "" 2039 144
"61214" "" 2039 147
"61215" "" 2039 231
"61216" "NM_001307979" 1937 51
"61217" "NM_001142625" 1099 290
"61218" "NM_004593" 2952 1808
"61219" "" 577 46
"61220" "" 577 61
"61221" "" 577 105
"61222" "" 577 148
"61223" "" 859 96
"61224" "" 1003 83
"61225" "" 1022 77
"61226" "" 1022 56
"61227" "" 1022 59
"61228" "" 1022 64
"61229" "" 1022 72
"61230" "" 1022 40
"61231" "" 1022 283
"61232" "NM_001010933" 1111 209
"61233" "" 630 111
"61234" "" 630 70
"61235" "NM_001135111" 1706 22
"61236" "NM_001135111" 1706 725
"61237" "" 1043 162
"61238" "NM_001282866" 5638 3653
"61239" "" 1043 224
"61240" "NM_001288742" 730 381
"61241" "" 700 3
"61242" "" 700 452
"61243" "" 9158 483
"61244" "NM_001128627" 2107 128
"61245" "" 512 99
"61246" "" 512 274
"61247" "" 1638 28
"61248" "" 1638 90
"61249" "" 1638 87
"61250" "" 1638 92
"61251" "" 1638 203
"61252" "" 1638 125
"61253" "" 1638 77
"61254" "" 1638 74
"61255" "" 1638 41
"61256" "" 1638 522
"61257" "NM_001205252" 1902 850
"61258" "" 1509 91
"61259" "" 1509 198
"61260" "" 1509 79
"61261" "" 1509 112
"61262" "" 1509 143
"61263" "" 1509 160
"61264" "" 1509 85
"61265" "" 1509 88
"61266" "" 1509 75
"61267" "" 1509 105
"61268" "" 3024 1607
"61269" "NM_006913" 1168 466
"61270" "NM_006913" 1168 466
"61271" "NM_002586" 3210 1645
"61272" "" 1529 14
"61273" "" 1529 231
"61274" "NM_006120" 1126 253
"61275" "" 6813 1811
"61276" "NM_002122" 1594 19
"61277" "NM_002122" 1594 706
"61278" "" 2028 86
"61279" "" 2028 119
"61280" "" 2028 91
"61281" "" 2028 144
"61282" "" 2028 212
"61283" "" 2028 1135
"61284" "NM_001256585" 4552 3135
"61285" "NM_001297652" 3832 859
"61286" "" 636 41
"61287" "" 636 52
"61288" "" 636 68
"61289" "NM_007160" 1584 154
"61290" "NM_001114394" 3523 1374
"61291" "NM_001114393" 3523 1374
"61292" "NM_173797" 3523 1374
"61293" "" 718 165
"61294" "" 718 69
"61295" "" 559 173
"61296" "NM_147783" 2011 804
"61297" "" 829 5
"61298" "" 829 90
"61299" "" 829 168
"61300" "" 829 71
"61301" "NM_001039651" 916 319
"61302" "" 1897 114
"61303" "" 1897 169
"61304" "" 577 77
"61305" "" 577 55
"61306" "" 2466 211
"61307" "" 1026 184
"61308" "" 1026 53
"61309" "" 1026 224
"61310" "" 1026 137
"61311" "" 1026 88
"61312" "NM_001136033" 1842 142
"61313" "" 1594 63
"61314" "" 1594 188
"61315" "" 1594 167
"61316" "" 1594 137
"61317" "" 1594 143
"61318" "" 1594 731
"61319" "" 516 119
"61320" "" 516 147
"61321" "" 610 323
"61322" "NM_001206936" 1369 28
"61323" "NM_001206936" 1369 271
"61324" "NM_001206954" 1369 28
"61325" "NM_001206954" 1369 271
"61326" "NM_001206966" 1369 28
"61327" "NM_001206966" 1369 271
"61328" "NM_001206940" 1369 28
"61329" "NM_001206940" 1369 271
"61330" "NM_001135004" 2589 1171
"61331" "" 503 223
"61332" "" 1813 1067
"61333" "" 371 116
"61334" "NM_001184690" 2419 456
"61335" "" 587 43
"61336" "" 587 64
"61337" "" 587 138
"61338" "" 587 39
"61339" "" 2332 799
"61340" "" 1775 70
"61341" "" 1775 117
"61342" "" 1775 53
"61343" "" 1775 66
"61344" "" 1775 100
"61345" "" 1775 144
"61346" "" 1775 82
"61347" "" 1775 495
"61348" "" 2816 144
"61349" "" 2816 110
"61350" "" 2816 159
"61351" "" 2816 139
"61352" "" 2816 177
"61353" "" 2816 57
"61354" "" 2816 137
"61355" "" 2816 77
"61356" "" 2816 107
"61357" "" 2816 84
"61358" "" 2816 195
"61359" "" 2816 185
"61360" "" 2816 105
"61361" "" 2816 116
"61362" "" 2816 158
"61363" "" 2816 134
"61364" "" 2816 152
"61365" "" 2816 113
"61366" "" 2816 92
"61367" "" 2816 85
"61368" "" 2816 86
"61369" "" 749 17
"61370" "" 749 155
"61371" "" 749 136
"61372" "" 749 114
"61373" "" 12928 10182
"61374" "" 541 14
"61375" "NM_001170414" 4129 833
"61376" "" 531 43
"61377" "" 531 312
"61378" "NM_001199162" 4719 280
"61379" "NM_001276501" 1476 599
"61380" "NM_020056" 1201 19
"61381" "NM_020056" 1201 310
"61382" "" 1982 1536
"61383" "" 2873 68
"61384" "" 2873 1824
"61385" "" 2441 154
"61386" "" 2441 69
"61387" "" 2441 86
"61388" "" 2441 104
"61389" "" 2441 122
"61390" "" 2441 146
"61391" "" 2441 101
"61392" "" 2441 164
"61393" "" 2441 109
"61394" "" 2441 72
"61395" "" 2441 37
"61396" "" 2441 165
"61397" "" 2441 131
"61398" "" 2441 581
"61399" "NM_001278786" 754 211
"61400" "" 1932 167
"61401" "" 1932 571
"61402" "NM_182728" 1752 508
"61403" "" 2694 43
"61404" "" 2694 87
"61405" "" 2694 88
"61406" "" 2694 55
"61407" "" 2694 131
"61408" "" 2694 43
"61409" "" 2694 169
"61410" "" 2694 1813
"61411" "" 998 84
"61412" "NM_021159" 2470 548
"61413" "" 668 11
"61414" "" 668 334
"61415" "" 2403 89
"61416" "" 2403 1952
"61417" "" 674 74
"61418" "" 674 47
"61419" "" 674 112
"61420" "" 674 302
"61421" "" 2708 274
"61422" "NM_001161501" 4380 2123
"61423" "NM_005510" 1628 66
"61424" "NM_181891" 3990 3031
"61425" "NM_001199240" 1598 189
"61426" "" 2080 62
"61427" "" 2080 110
"61428" "" 2080 80
"61429" "" 2080 109
"61430" "" 2080 1016
"61431" "" 2080 79
"61432" "" 2080 85
"61433" "" 2080 73
"61434" "" 2080 188
"61435" "" 2080 49
"61436" "NM_001136032" 1174 308
"61437" "" 973 22
"61438" "" 973 256
"61439" "" 973 58
"61440" "" 973 114
"61441" "" 973 74
"61442" "" 973 56
"61443" "NM_001278378" 1491 232
"61444" "NM_001002251" 1491 232
"61445" "" 576 13
"61446" "NM_001278318" 2313 1272
"61447" "NM_206853" 5685 4173
"61448" "NM_153201" 2004 244
"61449" "NM_032548" 1961 444
"61450" "" 1552 417
"61451" "NM_001288804" 1869 387
"61452" "" 701 16
"61453" "" 603 323
"61454" "" 615 137
"61455" "" 689 323
"61456" "NM_025257" 2589 434
"61457" "" 3324 56
"61458" "" 3324 138
"61459" "" 3324 72
"61460" "" 3324 120
"61461" "" 3324 84
"61462" "" 3324 53
"61463" "" 3324 119
"61464" "" 3324 121
"61465" "" 3324 160
"61466" "" 3324 88
"61467" "" 3324 220
"61468" "" 3324 65
"61469" "" 3324 56
"61470" "" 3324 46
"61471" "" 3324 1404
"61472" "NM_001191007" 1808 1217
"61473" "NM_178031" 3346 115
"61474" "" 1035 16
"61475" "" 1035 636
"61476" "" 3208 31
"61477" "" 3208 24
"61478" "" 3208 247
"61479" "" 2490 1
"61480" "" 2490 653
"61481" "" 2490 497
"61482" "" 2490 133
"61483" "" 2490 126
"61484" "" 2490 125
"61485" "" 2490 134
