Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]	Transcript length (including UTRs and CDS)
ENST00000491052		587
ENST00000540663		776
ENST00000561797		545
ENST00000476912		469
ENST00000437796		1169
ENST00000565960		583
ENST00000417759		3523
ENST00000447445	NM_001166451	1391
ENST00000483414		3374
ENST00000300101	NM_014830	6170
ENST00000483979		3875
ENST00000522793		1432
ENST00000418767		967
ENST00000371584		1073
ENST00000551556		1716
ENST00000413082		672
ENST00000476792		785
ENST00000436829		618
ENST00000471103		4220
ENST00000547229		462
ENST00000323819	NM_198924	1358
ENST00000393780	NM_001130064	1901
ENST00000497560		1802
ENST00000551883		719
ENST00000537033		647
ENST00000561583		613
ENST00000447409		1286
ENST00000562645		446
ENST00000549510		581
ENST00000505490	NM_005782	1088
ENST00000472409		1252
ENST00000567816		373
ENST00000372565	NM_001146192	1775
ENST00000372565	NM_032257	1775
ENST00000481954		407
ENST00000231238	NM_003314	1467
ENST00000231238	NM_001282500	1467
ENST00000622746	NM_001270469	2881
ENST00000622746	NM_001270470	2881
ENST00000504015		254
ENST00000569489		355
ENST00000621100		839
ENST00000518390		565
ENST00000613329		956
ENST00000519145		258
ENST00000551140		1739
ENST00000614946	NM_001289023	814
ENST00000512673		441
ENST00000613446	NM_001287822	3181
ENST00000371809	NM_001010987	1972
ENST00000511412		533
ENST00000522073		1119
ENST00000520274		726
ENST00000257247	NM_024060	1024
ENST00000248378	NM_031298	653
ENST00000518560		543
ENST00000524172		810
ENST00000525875		793
ENST00000611861		1503
ENST00000586182	NM_001199209	2338
ENST00000437315		3684
ENST00000346424	NM_145813	1200
ENST00000533365		584
ENST00000475426		678
ENST00000522804		968
ENST00000461083		417
ENST00000523370		543
ENST00000561689		1957
ENST00000612937		2181
ENST00000397133	NM_001014764	762
ENST00000417059	NM_003190	3766
ENST00000417059	NM_172209	3766
ENST00000521045		602
ENST00000614045		1059
ENST00000614694		624
ENST00000263956	NM_012086	4282
ENST00000290231	NM_020967	3220
ENST00000490135		5707
ENST00000372291		727
ENST00000619687		936
ENST00000481098		547
ENST00000464230		1337
ENST00000518772		796
ENST00000416690		326
ENST00000617486		550
ENST00000591058	NM_001199208	2983
ENST00000319908	NM_145812	2248
ENST00000435252		527
ENST00000350777	NM_198971	3163
ENST00000350777	NM_015517	3163
ENST00000448087		1702
ENST00000527206		573
ENST00000369617		3911
ENST00000629703		1090
ENST00000466862		447
ENST00000471834		7229
ENST00000378024	NM_001620	18787
ENST00000456807	NM_172208	1824
ENST00000409364	NM_001206774	1736
ENST00000530285		580
ENST00000454018		1546
ENST00000493108		2202
ENST00000631929		3996
ENST00000221307	NM_000896	5050
ENST00000528508		568
ENST00000529354		1051
ENST00000619398		650
ENST00000494466		1239
ENST00000307546	NM_001142782	6430
ENST00000469439		630
ENST00000627905		5803
ENST00000432848		612
ENST00000470386		713
ENST00000531324		579
ENST00000582730	NM_001078166	3117
ENST00000620456		582
ENST00000529988		572
ENST00000587360		559
ENST00000324262	NM_018235	5130
ENST00000581497		438
ENST00000630462		713
ENST00000492687		725
ENST00000621357		531
ENST00000287295	NM_004208	2260
ENST00000369615	NM_152900	6508
ENST00000272091	NM_152608	3975
ENST00000625960		732
ENST00000619502		524
ENST00000553235		1476
ENST00000585846		2056
ENST00000580672		661
ENST00000631181		519
ENST00000533719		845
ENST00000394697		6213
ENST00000615909		570
ENST00000369611		3596
ENST00000609670		337
ENST00000612777		560
ENST00000614883	NM_171999	6555
ENST00000562623		333
ENST00000486456		897
ENST00000455546		547
ENST00000592424		561
ENST00000529877		723
ENST00000531360		748
ENST00000341657		7418
ENST00000633024		150
ENST00000413272	NM_001010906	3887
ENST00000477955		890
ENST00000451088		488
ENST00000621988		559
ENST00000583399		601
ENST00000588886		375
ENST00000579847		2653
ENST00000629050		1998
ENST00000527354		540
ENST00000528248		2277
ENST00000615598		574
ENST00000633643		3997
ENST00000418860		352
ENST00000535724	NM_001130847	2468
ENST00000570535	NM_001257999	6458
ENST00000566433	NM_001286057	2535
ENST00000626083		458
ENST00000583203		567
ENST00000398468	NM_001134462	2749
ENST00000584668		758
ENST00000633138		838
ENST00000629907		408
ENST00000448539		796
ENST00000614632		631
ENST00000568933		170
ENST00000532547		554
ENST00000527410	NM_001243259	1466
ENST00000626780		782
ENST00000563677		557
ENST00000265983	NM_000613	1652
ENST00000615696		477
ENST00000369485	NM_003800	4553
ENST00000530678		676
ENST00000620621		1569
ENST00000613619		573
ENST00000315567	NM_020236	1490
ENST00000566761		670
ENST00000574367	NM_016376	5033
ENST00000581979		1720
ENST00000612458		2958
ENST00000582260		743
ENST00000532312		3486
ENST00000565329		1813
ENST00000369475	NM_001286426	1725
ENST00000369475	NM_001286428	1725
ENST00000515625		307
ENST00000527556		1126
ENST00000569265		497
ENST00000262848	NM_005044	6031
ENST00000581513		568
ENST00000543963		2259
ENST00000529037		672
ENST00000584773		1317
ENST00000511521		580
ENST00000580229		586
ENST00000462736		539
ENST00000502384		898
ENST00000577600		582
ENST00000374278	NM_032513	3097
ENST00000585096		568
ENST00000537221		820
ENST00000436624		2314
ENST00000579583		510
ENST00000496648		463
ENST00000583741		1465
ENST00000584613		595
ENST00000505305		851
ENST00000442466		2109
ENST00000580553		2128
ENST00000506674		832
ENST00000510969		735
ENST00000425240		669
ENST00000531022		1777
ENST00000504901		535
ENST00000583216		574
ENST00000627296		2017
ENST00000529610		535
ENST00000581912		551
ENST00000258962	NM_006924	1513
ENST00000538899		1374
ENST00000359314	NM_012120	5412
ENST00000537611	NM_017419	1692
ENST00000582589		539
ENST00000374276	NM_001004434	2494
ENST00000361640	NM_012067	1710
ENST00000578430		689
ENST00000583785		1135
ENST00000477159		611
ENST00000369236	NM_145793	9109
ENST00000495469		1308
ENST00000320521	NM_013356	1878
ENST00000527755		2491
ENST00000463175		707
ENST00000498060		715
ENST00000529808		963
ENST00000479857		404
ENST00000324301	NM_001168499	2349
ENST00000469516		677
ENST00000486693		548
ENST00000296091	NM_001134440	3270
ENST00000296091	NM_001282880	3270
ENST00000296091	NM_033210	3270
ENST00000427592		726
ENST00000532860		968
ENST00000301258	NM_005672	1020
ENST00000633216		554
ENST00000314607	NM_005095	6994
ENST00000328945	NM_145168	11566
ENST00000411443		593
ENST00000513264		551
ENST00000355621	NM_001202498	5151
ENST00000355621	NM_003344	5151
ENST00000582620		525
ENST00000532324	NM_001146171	1381
ENST00000441447		466
ENST00000355422	NM_005264	2583
ENST00000457946		6003
ENST00000584768		897
ENST00000369234		1807
ENST00000619466	NM_003524	2060
ENST00000265109	NM_015577	5092
ENST00000532128		832
ENST00000482131		640
ENST00000490345		355
ENST00000582666		572
ENST00000514527		660
ENST00000449836	NM_001134441	3173
ENST00000449836	NM_001134442	3173
ENST00000473814	NM_182697	535
ENST00000470175		427
ENST00000577355		536
ENST00000439649	NM_001145453	9216
ENST00000496698		561
ENST00000585263		2566
ENST00000534209		871
ENST00000567277		2304
ENST00000239446	NM_018930	3290
ENST00000366974	NM_001042552	2389
ENST00000597933		873
ENST00000483368		619
ENST00000492456		492
ENST00000510319		557
ENST00000472396		758
ENST00000530441		492
ENST00000568731		484
ENST00000533561		429
ENST00000480245		436
ENST00000584581		4523
ENST00000534429		486
ENST00000583938		535
ENST00000572412		3352
ENST00000529775		803
ENST00000486283		788
ENST00000579624		1176
ENST00000570187		1320
ENST00000463272		553
ENST00000575298		665
ENST00000495845		500
ENST00000610587	NM_006737	1662
ENST00000572564		2555
ENST00000490974		572
ENST00000577669		471
ENST00000526641	NM_001146170	1073
ENST00000571547		465
ENST00000568930		1579
ENST00000614134		8932
ENST00000443178		622
ENST00000333503	NM_001042371	2727
ENST00000582674		581
ENST00000583695		559
ENST00000254235	NM_001114	6138
ENST00000562001		905
ENST00000574736		570
ENST00000581600		500
ENST00000514931		550
ENST00000295367	NM_001097589	878
ENST00000497759		666
ENST00000329209		864
ENST00000531963	NM_001146169	1291
ENST00000622574	NM_001242867	1834
ENST00000577409		422
ENST00000513974		548
ENST00000573722		430
ENST00000575509		2410
ENST00000457095	NM_144968	1949
ENST00000331860	NM_005416	985
ENST00000383772	NM_001290216	1273
ENST00000400401	NM_007109	3291
ENST00000366973	NM_001042553	2321
ENST00000525057		760
ENST00000533369		536
ENST00000383526	NM_001077511	3040
ENST00000512629	NM_001145522	2941
ENST00000526997		794
ENST00000326446	NM_152522	2805
ENST00000533856		423
ENST00000496380		880
ENST00000537579		2090
ENST00000533650		417
ENST00000570934		1881
ENST00000508596	NM_181265	4294
ENST00000573250		588
ENST00000332271	NM_001255975	3504
ENST00000332271	NM_001008496	3504
ENST00000615982	NM_001279352	2823
ENST00000528348		919
ENST00000532433		561
ENST00000509792		456
ENST00000488246		498
ENST00000534800		342
ENST00000455875		479
ENST00000525566	NM_001093771	3836
ENST00000375327	NM_001031745	1420
ENST00000527105		121
ENST00000575955		948
ENST00000524763		580
ENST00000425034		465
ENST00000428746	NM_001145520	5064
ENST00000534282		488
ENST00000490702		259
ENST00000527199		540
ENST00000514873		542
ENST00000526006		502
ENST00000463690		1402
ENST00000571961	NM_001077527	2687
ENST00000414955	NM_001267053	1281
ENST00000533313		3232
ENST00000506774		561
ENST00000370192	NM_000110	4412
ENST00000414441	NM_001194990	2261
ENST00000414441	NM_001194992	2261
ENST00000414441	NM_001194991	2261
ENST00000615166		826
ENST00000503272		587
ENST00000437042	NM_001290276	2775
ENST00000437042	NM_016152	2775
ENST00000417172		1915
ENST00000427382		499
ENST00000342358	NM_198505	4027
ENST00000436461		1614
ENST00000527701		3105
ENST00000479201		592
ENST00000494021		558
ENST00000474241		1036
ENST00000525574		2206
ENST00000417015		541
ENST00000370872	NM_001134759	1592
ENST00000465342	NM_001159542	5360
ENST00000306031	NM_001160301	1779
ENST00000591357		571
ENST00000495496		1632
ENST00000280190	NM_170710	4705
ENST00000454021	NM_022551	613
ENST00000623004		580
ENST00000591180		669
ENST00000507824		4119
ENST00000508777		1387
ENST00000460019		551
ENST00000488957		2380
ENST00000330688	NM_001290266	3084
ENST00000330688	NM_001290277	3084
ENST00000330688	NM_000965	3084
ENST00000587883		574
ENST00000422748	NM_033157	2665
ENST00000222120	NM_004283	4273
ENST00000433800	NM_002121	1560
ENST00000446087		569
ENST00000310512	NM_019606	3030
ENST00000585503		1175
ENST00000489694		574
ENST00000454108		558
ENST00000513261		466
ENST00000505894		677
ENST00000589655		924
ENST00000246635	NM_153490	1699
ENST00000587499		1092
ENST00000415985		1281
ENST00000475772		753
ENST00000444931		1424
ENST00000443118		4911
ENST00000372188	NM_001243779	829
ENST00000262134	NM_017839	5391
ENST00000372963		647
ENST00000372025	NM_016486	2439
ENST00000336861	NM_002274	1673
ENST00000309859	NM_015044	5973
ENST00000492951		693
ENST00000620313		709
ENST00000328381	NM_032322	2892
ENST00000497768		302
ENST00000496366		722
ENST00000530399		547
ENST00000475217		491
ENST00000566911		832
ENST00000508773		485
ENST00000612905	NM_003724	9124
ENST00000567468		1713
ENST00000606162		5859
ENST00000532537		3043
ENST00000614060	NM_001324020	2048
ENST00000614060	NM_001285447	2048
ENST00000614060	NM_015027	2048
ENST00000614060	NM_001285449	2048
ENST00000614060	NM_001285445	2048
ENST00000614060	NM_001285444	2048
ENST00000503673	NM_001145521	3339
ENST00000495878		2758
ENST00000567339		293
ENST00000480001		1191
ENST00000564084		616
ENST00000368237		1969
ENST00000526266		577
ENST00000462272		1258
ENST00000568922		1807
ENST00000461155		912
ENST00000632387		474
ENST00000492866		421
ENST00000511652		470
ENST00000616349		3111
ENST00000441449	NM_170769	1970
ENST00000566685		571
ENST00000479097		1235
ENST00000493721		775
ENST00000486781		589
ENST00000468313		1835
ENST00000371383	NM_001290072	3834
ENST00000458646	NM_001290217	2590
ENST00000504052		630
ENST00000525569		1000
ENST00000587544		1456
ENST00000512305		542
ENST00000530392		570
ENST00000569182		587
ENST00000418444		688
ENST00000439874	NM_007160	1584
ENST00000514036		575
ENST00000606486		551
ENST00000464634		1219
ENST00000503506	NM_182743	3930
ENST00000503506	NM_182729	3930
ENST00000503506	NM_182742	3930
ENST00000249041	NM_003614	1157
ENST00000614573	NM_001285450	2183
ENST00000230565	NM_021572	2544
ENST00000230565	NM_001290073	2544
ENST00000473242		639
ENST00000413282		651
ENST00000590425		572
ENST00000526691	NM_003330	3974
ENST00000492313		725
ENST00000527693		946
ENST00000464845	NM_003491	1772
ENST00000464845	NM_001256120	1772
ENST00000495690		472
ENST00000587435		549
ENST00000531691		728
ENST00000372185	NM_001243781	1723
ENST00000478081		919
ENST00000517956	NM_148177	6744
ENST00000517956	NM_058229	6744
ENST00000633503		1678
ENST00000443677		1261
ENST00000484321		685
ENST00000447674		1361
ENST00000587118		579
ENST00000462049		818
ENST00000485544		694
ENST00000450015	NM_025236	2206
ENST00000472979		642
ENST00000488076		800
ENST00000566915		5285
ENST00000430085		1938
ENST00000526390		3808
ENST00000567201		576
ENST00000368236	NM_001105669	2005
ENST00000563095		712
ENST00000482485		1075
ENST00000515799	NM_001145525	3486
ENST00000370519	NM_013453	691
ENST00000524000		735
ENST00000305352	NM_001320730	2909
ENST00000305352	NM_001400	2909
ENST00000566375		482
ENST00000582401	NM_006472	2926
ENST00000462181		188
ENST00000372181		2058
ENST00000475634		996
ENST00000565056		423
ENST00000475821		763
ENST00000531689		554
ENST00000449107	NM_001281723	1820
ENST00000602960		1502
ENST00000510386		423
ENST00000370015		1002
ENST00000375880		2487
ENST00000610518		1113
ENST00000475289		505
ENST00000287396		1197
ENST00000316412	NM_001099852	1597
ENST00000464602		1109
ENST00000617558		991
ENST00000324689	NM_197939	1905
ENST00000562299		551
ENST00000570111		563
ENST00000508315		579
ENST00000393712		908
ENST00000461925		413
ENST00000488537		1509
ENST00000299596		1443
ENST00000409691		1903
ENST00000486597		509
ENST00000443022	NM_001242463	1227
ENST00000615554	NM_001243780	2213
ENST00000615554	NM_032333	2213
ENST00000425134		1225
ENST00000515448		522
ENST00000568003		501
ENST00000372187	NM_001243782	1647
ENST00000372187	NM_001243778	1647
ENST00000482470		3941
ENST00000503222		562
ENST00000348544	NM_001301138	2661
ENST00000512625		554
ENST00000535306	NM_001184992	2098
ENST00000524543		3848
ENST00000568755		581
ENST00000505185		225
ENST00000580444		475
ENST00000329399	NM_020992	1452
ENST00000568799		1403
ENST00000434242		257
ENST00000562258		4160
ENST00000380216	NM_002173	939
ENST00000521719		938
ENST00000303498	NM_000060	2075
ENST00000492511		453
ENST00000563494		553
ENST00000596148	NM_001042462	5498
ENST00000564994		629
ENST00000520511		807
ENST00000370009	NM_001256119	837
ENST00000480711		459
ENST00000569300		572
ENST00000376085	NM_001010847	2209
ENST00000361675	NM_033138	3612
ENST00000569189		586
ENST00000506376	NM_001145523	3091
ENST00000528080	NM_015012	3968
ENST00000471964		580
ENST00000477757		850
ENST00000563047		366
ENST00000317378	NM_174894	790
ENST00000507502		340
ENST00000602122	NM_001260489	2480
ENST00000490391		458
ENST00000359265	NM_001256429	1189
ENST00000562944		388
ENST00000529546	NM_001261446	2018
ENST00000502736		569
ENST00000425687	NM_001166254	2080
ENST00000426877	NM_001042461	765
ENST00000467027		561
ENST00000507276		584
ENST00000493949		795
ENST00000562117		387
ENST00000509247		577
ENST00000474763		582
ENST00000626929		624
ENST00000566651		332
ENST00000473800		589
ENST00000595985		411
ENST00000533867		966
ENST00000481440		728
ENST00000507883		773
ENST00000529751		557
ENST00000527813		803
ENST00000627604		565
ENST00000511130	NM_001270574	1356
ENST00000513772		557
ENST00000566547		603
ENST00000526207		551
ENST00000361901	NM_004342	4114
ENST00000528079		629
ENST00000533723	NM_001165030	723
ENST00000626064		988
ENST00000526580		400
ENST00000498254		443
ENST00000437172	NM_001281724	2097
ENST00000611268		1440
ENST00000489019		422
ENST00000318006	NM_015289	4844
ENST00000591668		644
ENST00000265304	NM_003143	687
ENST00000529784		607
ENST00000257749	NM_021813	9113
ENST00000637180		2262
ENST00000445569		525
ENST00000496622		2620
ENST00000524698		1933
ENST00000498107		636
ENST00000592642		396
ENST00000614932		2835
ENST00000299709	NM_001080442	1308
ENST00000489378		1434
ENST00000621878	NM_032351	1705
ENST00000343122		3981
ENST00000435928		458
ENST00000469123		662
ENST00000467681		630
ENST00000527688		3858
ENST00000568178		861
ENST00000481150		395
ENST00000406998		780
ENST00000465582		731
ENST00000443197		4173
ENST00000613510	NM_001278279	1554
ENST00000453877		868
ENST00000527335		786
ENST00000569816		578
ENST00000461433		1694
ENST00000470301		618
ENST00000463093		600
ENST00000621089	NM_001206559	1606
ENST00000465167		517
ENST00000493201		436
ENST00000424922	NM_033140	2124
ENST00000472023		498
ENST00000468267		800
ENST00000526950		1847
ENST00000637389		129
ENST00000484178		676
ENST00000246229	NM_002657	5705
ENST00000495522		2199
ENST00000494747		540
ENST00000257897	NM_014770	5388
ENST00000473783		470
ENST00000537989	NM_001170794	9108
ENST00000409311	NM_001278617	3287
ENST00000481508	NM_001256510	989
ENST00000525265		572
ENST00000496024		557
ENST00000436193		1112
ENST00000328568		4464
ENST00000478075		193
ENST00000355082		564
ENST00000615160		1819
ENST00000482824		644
ENST00000472096		651
ENST00000612337	NM_001256513	884
ENST00000612337	NM_001256512	884
ENST00000612337	NM_001256511	884
ENST00000383778	NM_001281725	2261
ENST00000508585		398
ENST00000361790		2210
ENST00000466704		903
ENST00000473714		230
ENST00000547588	NM_001122772	3579
ENST00000602003		297
ENST00000503803		644
ENST00000480638		560
ENST00000512342		967
ENST00000549129		608
ENST00000503280		584
ENST00000302979	NM_015972	1166
ENST00000360798	NM_205835	1963
ENST00000269383	NM_173547	3439
ENST00000269383	NM_001256124	3439
ENST00000409642	NM_177964	1577
ENST00000326258	NM_001005280	951
ENST00000334632	NM_001160325	954
ENST00000354940		4082
ENST00000393118	NM_033139	4281
ENST00000397736		3832
ENST00000429002		3855
ENST00000383763	NM_001039111	8685
ENST00000409876		1248
ENST00000388854	NM_001261445	4277
ENST00000543309		865
ENST00000540128		886
ENST00000288840	NM_005585	3835
ENST00000354900	NM_015925	2105
ENST00000193391	NM_016247	8337
ENST00000378474	NM_001098790	1889
ENST00000540812		385
ENST00000612349		5198
ENST00000466877		1080
ENST00000409029	NM_001317004	1306
ENST00000418175		801
ENST00000430971	NM_003782	1694
ENST00000480545		545
ENST00000557916		1401
ENST00000399697	NM_152705	2036
ENST00000340866	NM_001889	1888
ENST00000559931		573
ENST00000473975		572
ENST00000492102		2899
ENST00000336949		2536
ENST00000558937		632
ENST00000437627		528
ENST00000347609		1880
ENST00000314744	NM_006161	1668
ENST00000512718	NM_001270573	1569
ENST00000489647		1723
ENST00000450639		484
ENST00000492509		1824
ENST00000442722		515
ENST00000614558	NM_021242	3781
ENST00000630983		1931
ENST00000324862	NM_004698	2433
ENST00000427250	NM_001260490	1606
ENST00000636817		4592
ENST00000498470		348
ENST00000457894	NM_001098791	1902
ENST00000225698	NM_001212	1169
ENST00000484950		873
ENST00000605618		1885
ENST00000370871	NM_001130043	1292
ENST00000498249		1719
ENST00000465887		2118
ENST00000302759	NM_004336	3507
ENST00000637071		1943
ENST00000370870		888
ENST00000280115		1100
ENST00000574444		901
ENST00000460996		908
ENST00000636226		100
ENST00000602044		658
ENST00000441120		677
ENST00000399696		668
ENST00000340634	NM_198504	2452
ENST00000370011		538
ENST00000570805		688
ENST00000478175		759
ENST00000601623		530
ENST00000636618		100
ENST00000573204		911
ENST00000467451		743
ENST00000315251	NM_018397	7665
ENST00000482818		3560
ENST00000599658		343
ENST00000573421		330
ENST00000432089		599
ENST00000481668		631
ENST00000348946	NM_001166002	1046
ENST00000472179		1021
ENST00000597446		478
ENST00000573406		767
ENST00000636411		100
ENST00000417775	NM_001130042	2301
ENST00000636952		2869
ENST00000474235		338
ENST00000636679		100
ENST00000504315		538
ENST00000576122		383
ENST00000467802		565
ENST00000630281		1634
ENST00000621372	NM_205834	2274
ENST00000053469	NM_000409	1874
ENST00000430803		559
ENST00000636117		100
ENST00000509328		358
ENST00000401756	NM_001166003	1023
ENST00000477750		1062
ENST00000331075	NM_001284285	3347
ENST00000517510		2016
ENST00000393710		525
ENST00000394237	NM_001319061	2233
ENST00000477882		809
ENST00000478177		573
ENST00000238558	NM_173849	1264
ENST00000442487	NM_181773	988
ENST00000488481		569
ENST00000518622		5233
ENST00000488342		1983
ENST00000487917		1972
ENST00000461241		2810
ENST00000613996		465
ENST00000256785	NM_030787	2810
ENST00000613677		730
ENST00000269881	NM_145046	1292
ENST00000421988	NM_001166004	592
ENST00000450590		569
ENST00000358372	NM_004906	3656
ENST00000521364		2580
ENST00000602234		588
ENST00000435179		562
ENST00000420017		558
ENST00000600762		425
ENST00000372958		1575
ENST00000494513		635
ENST00000373586	NM_003757	1458
ENST00000466333		2501
ENST00000541991		1921
ENST00000394331	NM_153693	2943
ENST00000631126	NM_001270533	1430
ENST00000445053		559
ENST00000264784	NM_020041	1850
ENST00000421287		702
ENST00000490632		755
ENST00000375651	NM_005345	2483
ENST00000465029		1999
ENST00000477481		831
ENST00000416627		356
ENST00000608703		1909
ENST00000510842	NM_001270572	1979
ENST00000468927		714
ENST00000506583		1927
ENST00000529818		549
ENST00000473830		873
ENST00000529858		550
ENST00000337387	NM_152858	1622
ENST00000337387	NM_152857	1622
ENST00000555938		1100
ENST00000447014		551
ENST00000496202		1082
ENST00000462110		584
ENST00000489353		527
ENST00000420328		566
ENST00000508162		664
ENST00000436916		540
ENST00000505104		1659
ENST00000377461		3325
ENST00000243108	NM_004503	1733
ENST00000614346	NM_001270532	1623
ENST00000518979		3533
ENST00000513129		738
ENST00000421294		448
ENST00000400294	NM_001284288	2393
ENST00000506839		446
ENST00000274192	NM_001047	7132
ENST00000405300	NM_001284289	2515
ENST00000422090	NM_012346	3479
ENST00000422090	NM_153718	3479
ENST00000422090	NM_001193357	3479
ENST00000621533	NM_001270531	2109
ENST00000275820	NM_138400	6077
ENST00000352433	NM_004219	753
ENST00000505506		567
ENST00000375510	NM_000063	2835
ENST00000586674		1071
ENST00000509214		566
ENST00000535254	NM_001278616	3576
ENST00000404390	NM_001002837	2215
ENST00000420911	NM_001008747	2587
ENST00000460332		706
ENST00000471486		825
ENST00000481042		2175
ENST00000361991	NM_004384	2424
ENST00000418390		5154
ENST00000524244		434
ENST00000475176		714
ENST00000483517		744
ENST00000461872		10075
ENST00000472491		593
ENST00000474371		643
ENST00000309065	NM_001001290	1866
ENST00000525796		551
ENST00000517480		684
ENST00000261336	NM_002864	4610
ENST00000489850		559
ENST00000609199		2671
ENST00000535081		561
ENST00000422327		580
ENST00000469271		1209
ENST00000360683	NM_001044723	4047
ENST00000367253		5189
ENST00000523659		851
ENST00000510531		2013
ENST00000234198	NM_004405	2453
ENST00000453443		717
ENST00000485661		486
ENST00000372994	NM_024112	713
ENST00000487554		501
ENST00000467329		2595
ENST00000514131		253
ENST00000467514		1097
ENST00000613537	NM_003198	4924
ENST00000466293		1852
ENST00000438104		752
ENST00000309623	NM_001005236	933
ENST00000486131		997
ENST00000493553		516
ENST00000373686		1083
ENST00000515322		1115
ENST00000520452	NM_001282383	895
ENST00000513117		1467
ENST00000413682		543
ENST00000334025	NM_001029875	4160
ENST00000492588		1570
ENST00000433112		584
ENST00000367248		7165
ENST00000476970		1005
ENST00000263915	NM_004490	2382
ENST00000504286		662
ENST00000345990	NM_001031812	4635
ENST00000489240		573
ENST00000486420		434
ENST00000336425		2185
ENST00000505263		559
ENST00000413186		4860
ENST00000402238		1564
ENST00000497306		406
ENST00000353782	NM_145186	4463
ENST00000448866		1963
ENST00000446413		1435
ENST00000437356		1634
ENST00000404453		1613
ENST00000470824		898
ENST00000495090		1907
ENST00000367721	NM_000639	1888
ENST00000469573		984
ENST00000424693		587
ENST00000401755		1751
ENST00000620191	NM_001284287	2306
ENST00000295658	NM_001142312	3342
ENST00000295658	NM_001142311	3342
ENST00000295658	NM_138390	3342
ENST00000519356		1671
ENST00000356608		4612
ENST00000480394		3834
ENST00000455479		578
ENST00000505810		498
ENST00000406027		3174
ENST00000375825	NM_021246	402
ENST00000340030	NM_001302746	917
ENST00000412277	NM_001284286	3512
ENST00000463718		2423
ENST00000474655		1798
ENST00000375824		523
ENST00000454545	NM_001142310	3460
ENST00000491097		2002
ENST00000394747	NM_033151	4862
ENST00000523102	NM_001146316	1205
ENST00000257209	NM_025135	4967
ENST00000535896		1388
ENST00000383359	NM_001178063	1895
ENST00000391989		645
ENST00000613839	NM_002415	939
ENST00000479334		493
ENST00000360566		3673
ENST00000393964	NM_001282382	1070
ENST00000498751		578
ENST00000484209		2798
ENST00000626906		589
ENST00000319460	NM_148961	566
ENST00000569172		556
ENST00000483976		773
ENST00000625385		435
ENST00000466159		2610
ENST00000519287		670
ENST00000614885		1294
ENST00000437394		561
ENST00000524270	NM_032641	1236
ENST00000323927	NM_013366	2632
ENST00000481502		585
ENST00000494965		542
ENST00000436063	NM_014597	5897
ENST00000519357		1496
ENST00000265440	NM_012252	6628
ENST00000448450		1014
ENST00000483849		536
ENST00000468937		688
ENST00000493730		597
ENST00000537750		2850
ENST00000254958	NM_000214	6048
ENST00000483432		793
ENST00000491566		894
ENST00000432205		679
ENST00000333677	NM_001001669	4968
ENST00000425695		885
ENST00000504595	NM_012304	4562
ENST00000455713		435
ENST00000297265	NM_152284	1866
ENST00000437851		404
ENST00000614378	NM_003534	2411
ENST00000457446		403
ENST00000459969		787
ENST00000462746		480
ENST00000567385		3601
ENST00000485970		341
ENST00000422328	NM_001314028	1967
ENST00000304567	NM_001034	3271
ENST00000320239	NM_001018058	6605
ENST00000509831		588
ENST00000534328		1491
ENST00000471131		671
ENST00000492560		633
ENST00000510662	NM_001278317	1758
ENST00000565487		671
ENST00000462828		665
ENST00000498343		560
ENST00000589114		4154
ENST00000495611		747
ENST00000393485		2704
ENST00000496535		691
ENST00000618649		1565
ENST00000569991		582
ENST00000455353		1435
ENST00000366558		1868
ENST00000394748	NM_032583	4576
ENST00000359208		2199
ENST00000484212		1245
ENST00000618852	NM_006990	5676
ENST00000497829		174
ENST00000460191		3084
ENST00000458722		2057
ENST00000461327		580
ENST00000329673		3960
ENST00000259727	NM_006877	1515
ENST00000474337		685
ENST00000496672		811
ENST00000536657	NM_001201404	1083
ENST00000491447		644
ENST00000465322		449
ENST00000366835	NM_014698	4098
ENST00000352066	NM_016553	2870
ENST00000528680		499
ENST00000411653		1792
ENST00000457268	NM_001244583	6309
ENST00000474701		1060
ENST00000476637		623
ENST00000496025		789
ENST00000377391	NM_001085457	1792
ENST00000462275		1773
ENST00000543191		675
ENST00000414041		565
ENST00000482753		405
ENST00000544145		750
ENST00000487591		592
ENST00000487971		488
ENST00000548250	NM_001282457	2619
ENST00000366559	NM_003679	5261
ENST00000469630		1435
ENST00000590592	NM_001281740	4869
ENST00000540478		793
ENST00000462343		454
ENST00000423891		3758
ENST00000494876		502
ENST00000617357		580
ENST00000396864	NM_006084	1838
ENST00000474478		5407
ENST00000488480		1161
ENST00000548828	NM_001282458	2880
ENST00000485717		573
ENST00000360742		2242
ENST00000359247	NM_001281739	4518
ENST00000612857		586
ENST00000479195		256
ENST00000318562	NM_022772	3148
ENST00000548995	NM_001145903	2456
ENST00000456520		1608
ENST00000615152	NM_001165931	3434
ENST00000613518		597
ENST00000462832		2081
ENST00000218364	NM_014500	2775
ENST00000557894		1391
ENST00000622545		507
ENST00000533256		3266
ENST00000263552	NM_001130966	2367
ENST00000263552	NM_001061	2367
ENST00000556826	NM_001306087	1908
ENST00000556826	NM_001206920	1908
ENST00000591635		3035
ENST00000483779		634
ENST00000270001	NM_001297619	7489
ENST00000270001	NM_020917	7489
ENST00000620743		756
ENST00000482853		1245
ENST00000592930		4126
ENST00000534755		474
ENST00000436966		454
ENST00000617965		837
