Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
STX6	ENST00000258301.5	syntaxin 6 	348	1	0	1	0	1	0	0	1	1	hsa-miR-1-3p	-0.25	-0.25	0.40	2009, 2011
TRANK1	ENST00000428977.2	tetratricopeptide repeat and ankyrin repeat containing 1 	140	2	2	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.25	-0.25	0.69	2009, 2011
TGIF1	ENST00000330513.5	TGFB-induced factor homeobox 1 	354	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.25	-0.25	0.64	2007
METTL23	ENST00000588783.1	methyltransferase like 23 	33	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.25	-0.25	ORF	
PIK3C2A	ENST00000265970.7	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha 	280	2	0	0	2	0	0	0	0	1	hsa-miR-1-3p	-0.25	-0.26	0.88	2009, 2011
MYEF2	ENST00000324324.7	myelin expression factor 2 	358	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.24	-0.24	0.78	2009, 2011
SRSF3	ENST00000373715.6	serine/arginine-rich splicing factor 3 	2593	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.24	-0.29	0.28	2005, 2007, 2009, 2011
ZC2HC1C	ENST00000238686.8	zinc finger, C2HC-type containing 1C 	48	1	0	1	0	1	0	1	0	1	hsa-miR-1-3p	-0.24	-0.32	0.84	2009, 2011
FAM63B	ENST00000559228.1	family with sequence similarity 63, member B 	41	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.24	-0.24	0.82	2009, 2011
TBC1D15	ENST00000550746.1	TBC1 domain family, member 15 	1164	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.24	-0.36	0.84	2005, 2007, 2009, 2011
EIF4E3	ENST00000425534.3	eukaryotic translation initiation factor 4E family member 3 	475	1	0	1	0	1	0	0	1	0	hsa-miR-1-3p	-0.24	-0.35	0.82	2009, 2011
RSBN1	ENST00000261441.5	round spermatid basic protein 1 	54	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.24	-0.24	0.81	2005, 2007, 2009, 2011
RAB11FIP1	ENST00000287263.4	RAB11 family interacting protein 1 (class I) 	106	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.24	-0.24	0.64	
PDCD4	ENST00000280154.7	programmed cell death 4 (neoplastic transformation inhibitor) 	612	1	0	0	1	1	0	0	1	0	hsa-miR-206	-0.24	-0.37	0.68	2005, 2007, 2009, 2011
SEC62	ENST00000337002.4	SEC62 homolog (S. cerevisiae) 	746	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.24	-0.41	0.98	2005, 2007, 2009, 2011
TMEM135	ENST00000340353.7	transmembrane protein 135 	963	1	0	0	1	1	0	0	1	0	hsa-miR-1-3p	-0.24	-0.35	0.85	2007, 2009, 2011
FAM91A1	ENST00000334705.7	family with sequence similarity 91, member A1 	731	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.24	-0.24	0.63	2007, 2009, 2011
NR4A2	ENST00000339562.4	nuclear receptor subfamily 4, group A, member 2 	1631	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.24	-0.24	0.75	2005, 2007, 2009, 2011
RNF111	ENST00000348370.4	ring finger protein 111 	395	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.24	-0.24	0.76	2009, 2011
CEP44	ENST00000296519.4	centrosomal protein 44kDa 	376	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.24	-0.24	0.41	2009, 2011
KLF4	ENST00000374672.4	Kruppel-like factor 4 (gut) 	22	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.24	-0.24	0.63	2005, 2007, 2011
TNPO2	ENST00000425528.1	transportin 2 	1620	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.24	-0.24	0.78	2005, 2007, 2009, 2011
RRAGC	ENST00000373001.3	Ras-related GTP binding C 	1062	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.24	-0.24	0.52	
SFPQ	ENST00000357214.5	splicing factor proline/glutamine-rich 	4735	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.23	-0.23	0.64	2011
MPZ	ENST00000533357.1	myelin protein zero 	17	1	0	0	1	0	0	0	0	2	hsa-miR-1-3p	-0.23	-0.23	0.58	2011
NETO1	ENST00000327305.6	neuropilin (NRP) and tolloid (TLL)-like 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.68	2011
MYOCD	ENST00000425538.1	myocardin 	62	2	0	1	1	0	0	0	0	3	hsa-miR-206	-0.23	-0.33	0.94	2011
KCNJ2	ENST00000243457.3	potassium inwardly-rectifying channel, subfamily J, member 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.58	2011
C10orf126	ENST00000375520.1	chromosome 10 open reading frame 126 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.22	
ARG2	ENST00000261783.3	arginase 2 	6	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.23	-0.23	0.64	2011
SMEK2	ENST00000272313.5	SMEK homolog 2, suppressor of mek1 (Dictyostelium) 	342	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.80	2011
ADAM12	ENST00000368679.4	ADAM metallopeptidase domain 12 	758	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.54	2009, 2011
ZFP36L2	ENST00000282388.3	ZFP36 ring finger protein-like 2 	317	2	0	0	2	0	0	0	0	2	hsa-miR-1-3p	-0.23	-0.25	0.90	2005, 2007, 2009, 2011
AKAP11	ENST00000025301.2	A kinase (PRKA) anchor protein 11 	71	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.83	2005, 2007, 2009, 2011
PHF6	ENST00000332070.3	PHD finger protein 6 	630	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.50	2005, 2007, 2011
DGKZ	ENST00000343674.6	diacylglycerol kinase, zeta 	65	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.23	-0.23	0.74	2005, 2007, 2011
SYN3	ENST00000358763.2	synapsin III 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.16	2011
SELT	ENST00000471696.1	Selenoprotein T  	538	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.23	2005, 2007, 2011
ASPH	ENST00000356457.5	aspartate beta-hydroxylase 	3013	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.37	2009, 2011
HCN1	ENST00000303230.4	hyperpolarization activated cyclic nucleotide-gated potassium channel 1 	5	1	0	1	0	0	0	0	0	2	hsa-miR-1-3p	-0.23	-0.23	0.84	2009, 2011
TIGD6	ENST00000296736.3	tigger transposable element derived 6 	155	1	1	0	0	1	0	0	1	0	hsa-miR-206	-0.23	-0.54	0.40	2009, 2011
PLEKHO2	ENST00000323544.4	pleckstrin homology domain containing, family O member 2 	279	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.23	-0.23	0.80	2009, 2011
PEA15	ENST00000360472.4	phosphoprotein enriched in astrocytes 15 	5239	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.23	-0.23	0.39	2009, 2011
FZD7	ENST00000286201.1	frizzled family receptor 7 	319	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.23	0.43	2005, 2007, 2009, 2011
GDF6	ENST00000287020.5	growth differentiation factor 6 	14	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.22	-0.22	0.84	2005, 2007, 2009, 2011
ELF1	ENST00000442101.1	E74-like factor 1 (ets domain transcription factor) 	466	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.22	0.68	2007
TMX1	ENST00000457354.2	thioredoxin-related transmembrane protein 1 	3176	1	0	1	0	1	0	1	0	1	hsa-miR-1-3p	-0.22	-0.38	0.80	2009, 2011
SDCBP	ENST00000260130.4	syndecan binding protein (syntenin) 	1071	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.22	-0.22	0.64	2005, 2007, 2011
ACTB	ENST00000331789.5	actin, beta 	176	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.25	0.64	
DLG4	ENST00000399506.2	discs, large homolog 4 (Drosophila) 	75	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.22	0.56	2005, 2007, 2009, 2011
MOB3C	ENST00000319928.3	MOB kinase activator 3C 	141	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.22	0.70	2009, 2011
NAB1	ENST00000337386.5	NGFI-A binding protein 1 (EGR1 binding protein 1) 	279	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.22	0.58	2009, 2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	1	0	1	0	0	0	0	0	2	hsa-miR-1-3p	-0.22	-0.24	0.83	2007, 2009, 2011
SRGAP2	ENST00000414007.1	SLIT-ROBO Rho GTPase activating protein 2 	98	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.22	-0.25	0.55	
PRKCE	ENST00000306156.3	protein kinase C, epsilon 	164	1	1	0	0	1	0	0	1	1	hsa-miR-206	-0.22	-0.22	0.34	2009, 2011
ZNF24	ENST00000589881.1	zinc finger protein 24 	1796	2	1	1	0	1	0	1	0	1	hsa-miR-1-3p	-0.22	-0.49	0.66	2009, 2011
UTRN	ENST00000367545.3	utrophin 	87	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.22	-0.23	0.68	2007, 2009, 2011
EAF1	ENST00000396842.2	ELL associated factor 1 	63	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.23	0.35	2005, 2007, 2011
BLCAP	ENST00000397137.1	bladder cancer associated protein 	38	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.28	0.67	2005, 2007, 2009, 2011
LMBR1	ENST00000353442.5	limb development membrane protein 1 	1435	1	0	1	0	1	0	0	1	2	hsa-miR-1-3p	-0.22	-0.23	0.84	2009, 2011
AKAP12	ENST00000402676.2	A kinase (PRKA) anchor protein 12 	913	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.22	-0.22	0.60	2005, 2007, 2011
RAP1B	ENST00000250559.9	RAP1B, member of RAS oncogene family 	3599	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.66	2005, 2007, 2011
CTBP2	ENST00000337195.5	C-terminal binding protein 2 	16	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.21	-0.21	0.84	2009, 2011
STX12	ENST00000373943.4	syntaxin 12 	1082	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.21	-0.22	0.31	2011
ZBTB21	ENST00000398505.3	zinc finger and BTB domain containing 21 	802	1	1	0	0	1	0	0	1	2	hsa-miR-206	-0.21	-0.22	0.40	2009, 2011
KRAS	ENST00000256078.4	Kirsten rat sarcoma viral oncogene homolog 	40	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.30	0.32	2009, 2011
RNF145	ENST00000274542.2	ring finger protein 145 	12145	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.46	2005, 2007, 2011
CAPRIN1	ENST00000341394.4	cell cycle associated protein 1 	650	1	1	0	0	2	0	0	2	1	hsa-miR-1-3p	-0.21	-0.38	0.75	2007, 2009, 2011
BTAF1	ENST00000265990.6	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa 	917	1	0	0	1	1	1	0	0	0	hsa-miR-1-3p	-0.21	-0.24	0.68	2007, 2009, 2011
RP5-850E9.3	ENST00000488788.2	Uncharacterized protein  	10	1	1	0	0	1	0	0	1	0	hsa-miR-206	-0.21	-0.43	0.51	
PCDH17	ENST00000377918.3	protocadherin 17 	477	1	1	0	0	0	0	0	0	2	hsa-miR-206	-0.21	-0.21	0.82	2005, 2007, 2009, 2011
SLC37A3	ENST00000447932.2	solute carrier family 37, member 3 	86	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.52	2005, 2007, 2009
KLHL5	ENST00000261425.3	kelch-like family member 5 	366	1	0	0	1	2	0	1	1	0	hsa-miR-1-3p	-0.21	-0.25	0.68	2011
ACPL2	ENST00000286353.4	acid phosphatase-like 2 	72	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.21	-0.24	0.64	2011
ORAI3	ENST00000318663.4	ORAI calcium release-activated calcium modulator 3 	565	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.21	-0.21	0.75	2009, 2011
EPB41L4B	ENST00000374557.4	erythrocyte membrane protein band 4.1 like 4B 	135	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.68	2011
ARHGAP21	ENST00000396432.2	Rho GTPase activating protein 21 	10	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.67	2005, 2007, 2009, 2011
VASP	ENST00000245932.6	vasodilator-stimulated phosphoprotein 	1627	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.50	2009
PLEKHA1	ENST00000538022.1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 	1172	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.21	-0.21	ORF	
SLC24A4	ENST00000393265.2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4 	5	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.21	-0.21	0.64	2011
UBR5	ENST00000520539.1	ubiquitin protein ligase E3 component n-recognin 5 	733	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.79	2007, 2009, 2011
SLC8A1	ENST00000406785.2	solute carrier family 8 (sodium/calcium exchanger), member 1 	61	1	1	0	0	9	2	4	3	3	hsa-miR-1-3p	-0.20	-0.57	0.56	2007, 2009, 2011
PPP1R3B	ENST00000310455.3	protein phosphatase 1, regulatory subunit 3B 	20	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.20	-0.20	0.74	2009, 2011
HAND2	ENST00000359562.4	heart and neural crest derivatives expressed 2 	30	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.66	2005, 2007, 2009, 2011
NECAB1	ENST00000417640.2	N-terminal EF-hand calcium binding protein 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.65	2005, 2007, 2009, 2011
NBEA	ENST00000379939.2	neurobeachin 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.69	2009, 2011
C1GALT1	ENST00000223122.3	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 	44	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.26	2005, 2007
SGIP1	ENST00000371036.3	SH3-domain GRB2-like (endophilin) interacting protein 1 	180	1	0	0	1	1	0	0	1	1	hsa-miR-1-3p	-0.20	-0.21	0.68	2009, 2011
MTSS1	ENST00000378017.3	metastasis suppressor 1 	10	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.66	2005, 2007, 2009, 2011
HDAC4	ENST00000345617.3	histone deacetylase 4 	48	3	0	1	2	0	0	0	0	1	hsa-miR-206	-0.20	-0.29	0.97	2005, 2007, 2009, 2011
SLC45A4	ENST00000519067.1	solute carrier family 45, member 4 	418	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.86	
EYA4	ENST00000367895.5	eyes absent homolog 4 (Drosophila) 	242	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.21	0.84	2005, 2007, 2009, 2011
EMX2	ENST00000442245.4	empty spiracles homeobox 2 	54	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.22	0.26	
HMGN3	ENST00000275036.7	high mobility group nucleosomal binding domain 3 	2124	1	0	0	1	1	0	0	1	1	hsa-miR-206	-0.20	-0.35	0.68	
COL4A3	ENST00000396578.3	collagen, type IV, alpha 3 (Goodpasture antigen) 	286	1	0	1	0	1	0	0	1	0	hsa-miR-206	-0.20	-0.20	0.75	2011
TAOK3	ENST00000419821.2	TAO kinase 3 	8	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.73	2009, 2011
LEF1	ENST00000265165.1	lymphoid enhancer-binding factor 1 	104	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.20	-0.20	0.68	2011
RNF40	ENST00000324685.6	ring finger protein 40, E3 ubiquitin protein ligase 	773	1	0	0	1	0	0	0	0	1	hsa-miR-206	-0.20	-0.20	0.67	2005, 2007, 2009, 2011
PEX26	ENST00000329627.7	peroxisomal biogenesis factor 26 	157	1	1	0	0	0	0	0	0	3	hsa-miR-206	-0.20	-0.21	0.32	2011
SMARCC1	ENST00000254480.5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 	727	2	1	0	1	1	0	0	1	1	hsa-miR-206	-0.20	-0.24	0.85	2009, 2011
CT62	ENST00000566432.1	cancer/testis antigen 62 	5	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.20	-0.20	0.65	2011
MAPK3	ENST00000403394.1	mitogen-activated protein kinase 3 	271	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.20	-0.20	0.52	2009, 2011
GBX2	ENST00000551105.1	gastrulation brain homeobox 2 	53	1	0	0	1	1	0	0	1	0	hsa-miR-1-3p	-0.20	-0.23	0.66	
GABBR2	ENST00000259455.2	gamma-aminobutyric acid (GABA) B receptor, 2 	214	1	0	1	0	0	0	0	0	2	hsa-miR-206	-0.20	-0.20	0.64	2009, 2011
ATF2	ENST00000487334.2	activating transcription factor 2 	123	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.33	0.84	
ZADH2	ENST00000322342.3	zinc binding alcohol dehydrogenase domain containing 2 	207	1	1	0	0	0	0	0	0	2	hsa-miR-206	-0.19	-0.34	0.74	2011
WDR6	ENST00000395474.3	WD repeat domain 6 	3435	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.20	0.29	2005, 2007, 2009
KHSRP	ENST00000398148.3	KH-type splicing regulatory protein 	4469	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.19	0.81	2009, 2011
DMPK	ENST00000354227.5	dystrophia myotonica-protein kinase 	409	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.19	-0.20	0.59	2007, 2009, 2011
SRXN1	ENST00000381962.3	sulfiredoxin 1 	10	1	1	0	0	1	0	0	1	0	hsa-miR-206	-0.19	-0.40	0.51	2009, 2011
TRPS1	ENST00000395715.3	trichorhinophalangeal syndrome I 	94	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.19	-0.19	0.67	2005, 2007, 2009, 2011
RAPGEF2	ENST00000264431.4	Rap guanine nucleotide exchange factor (GEF) 2 	484	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.19	-0.19	0.65	2009, 2011
COIL	ENST00000240316.4	coilin 	5	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.19	0.45	2009, 2011
ATXN1L	ENST00000427980.2	ataxin 1-like 	12	1	1	0	0	1	0	0	1	3	hsa-miR-206	-0.19	-0.19	0.66	2011
PLEKHM1	ENST00000430334.3	pleckstrin homology domain containing, family M (with RUN domain) member 1 	90	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.19	-0.19	0.58	2009, 2011
SLC30A9	ENST00000264451.7	solute carrier family 30 (zinc transporter), member 9 	396	2	1	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.53	0.96	2005, 2007
KIAA1468	ENST00000398130.2	KIAA1468 	756	1	0	0	1	0	0	0	0	2	hsa-miR-1-3p	-0.19	-0.39	0.67	
ZNF516	ENST00000443185.2	zinc finger protein 516 	311	1	0	1	0	1	0	1	0	0	hsa-miR-1-3p	-0.19	-0.21	0.82	2009, 2011
MYO1E	ENST00000288235.4	myosin IE 	198	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.19	0.83	2007
LETM1	ENST00000302787.2	leucine zipper-EF-hand containing transmembrane protein 1 	198	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.19	0.68	2005, 2007, 2009, 2011
PHKG2	ENST00000563588.1	phosphorylase kinase, gamma 2 (testis) 	283	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.19	-0.20	0.61	2005, 2007, 2011
ZNF146	ENST00000443387.2	zinc finger protein 146 	3086	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.19	0.51	2005, 2007, 2011
KAT6A	ENST00000265713.2	K(lysine) acetyltransferase 6A 	21	1	0	0	1	1	0	0	1	0	hsa-miR-206	-0.19	-0.25	0.81	2005, 2007, 2011
C1orf95	ENST00000366788.3	chromosome 1 open reading frame 95 	28	1	0	0	1	4	1	3	0	2	hsa-miR-1-3p	-0.19	-0.35	0.68	2011
PPM1H	ENST00000228705.6	protein phosphatase, Mg2+/Mn2+ dependent, 1H 	45	1	0	1	0	1	0	0	1	0	hsa-miR-1-3p	-0.19	-0.19	0.31	
PTPN1	ENST00000371621.3	protein tyrosine phosphatase, non-receptor type 1 	142	1	1	0	0	1	0	0	1	0	hsa-miR-1-3p	-0.19	-0.29	0.90	2007, 2009, 2011
PNP	ENST00000361505.5	purine nucleoside phosphorylase 	50	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.19	-0.28	0.83	2011
SULF1	ENST00000458141.2	sulfatase 1 	11	2	2	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.19	-0.19	0.55	2007, 2009, 2011
TAL1	ENST00000371884.2	T-cell acute lymphocytic leukemia 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.19	0.12	2009, 2011
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.19	-0.19	0.95	
RCAN2	ENST00000330430.6	regulator of calcineurin 2 	32	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.19	-0.19	0.48	2005, 2007, 2009, 2011
ARPC1A	ENST00000262942.5	actin related protein 2/3 complex, subunit 1A, 41kDa 	99	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.19	-0.25	0.59	2005, 2007
GXYLT1	ENST00000398675.3	glucoside xylosyltransferase 1 	126	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.18	-0.18	0.67	2009, 2011
KAT6B	ENST00000287239.4	K(lysine) acetyltransferase 6B 	266	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.18	-0.18	0.66	2007
MBTD1	ENST00000586178.1	mbt domain containing 1 	113	1	0	1	0	1	0	0	1	0	hsa-miR-1-3p	-0.18	-0.18	0.39	
RNF38	ENST00000259605.6	ring finger protein 38 	348	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.18	-0.19	0.79	2005, 2007, 2009, 2011
GTF2B	ENST00000370500.5	general transcription factor IIB 	1311	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.18	-0.18	0.68	2005, 2007, 2009, 2011
GLIS2	ENST00000262366.3	GLIS family zinc finger 2 	17	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.18	-0.18	0.95	2007, 2009, 2011
TCF7L2	ENST00000355717.4	transcription factor 7-like 2 (T-cell specific, HMG-box) 	650	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.18	-0.18	ORF	
CREM	ENST00000333809.8	cAMP responsive element modulator 	882	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.18	-0.42	0.75	2005, 2007, 2009, 2011
TGFBR3	ENST00000212355.4	transforming growth factor, beta receptor III 	245	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.18	-0.18	0.82	2005, 2007, 2009, 2011
GPR158	ENST00000376351.3	G protein-coupled receptor 158 	5	1	0	0	1	2	0	0	2	0	hsa-miR-1-3p	-0.18	-0.18	0.67	2007, 2009, 2011
CTNND2	ENST00000304623.8	catenin (cadherin-associated protein), delta 2 	25	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.18	-0.18	0.65	2005, 2007, 2011
SEMA6D	ENST00000355997.3	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D 	179	1	1	0	0	1	0	0	1	1	hsa-miR-1-3p	-0.18	-0.21	0.80	2005, 2007, 2009, 2011
COL19A1	ENST00000322773.4	collagen, type XIX, alpha 1 	5	2	0	0	2	0	0	0	0	0	hsa-miR-206	-0.18	-0.23	0.87	2009, 2011
GPR85	ENST00000297146.3	G protein-coupled receptor 85 	21	1	0	0	1	2	1	0	1	0	hsa-miR-1-3p	-0.18	-0.37	0.62	2005, 2007, 2009, 2011
FAM168A	ENST00000064778.4	family with sequence similarity 168, member A 	68	2	2	0	0	2	0	1	1	1	hsa-miR-1-3p	-0.18	-0.26	0.90	
SPTLC3	ENST00000399002.2	serine palmitoyltransferase, long chain base subunit 3 	24	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.18	-0.19	0.41	2007, 2009, 2011
GOLPH3	ENST00000265070.6	golgi phosphoprotein 3 (coat-protein) 	1157	1	0	0	1	1	0	0	1	0	hsa-miR-1-3p	-0.18	-0.18	0.78	2005, 2007, 2009
MAP3K1	ENST00000399503.3	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase 	137	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.17	-0.17	0.70	2009, 2011
MARCKS	ENST00000368635.4	myristoylated alanine-rich protein kinase C substrate 	188	2	1	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.17	-0.41	0.82	2011
MED1	ENST00000300651.6	mediator complex subunit 1 	87	1	0	1	0	0	0	0	0	2	hsa-miR-1-3p	-0.17	-0.17	0.58	2005, 2007, 2009, 2011
DDX17	ENST00000396821.3	DEAD (Asp-Glu-Ala-Asp) box helicase 17 	2204	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.17	-0.17	0.83	2005, 2007, 2009, 2011
AP3D1	ENST00000355272.6	adaptor-related protein complex 3, delta 1 subunit 	464	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.17	-0.21	0.84	2005, 2007, 2009, 2011
FRS2	ENST00000550389.1	fibroblast growth factor receptor substrate 2 	176	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.17	-0.40	0.91	2007, 2009, 2011
SMYD4	ENST00000305513.7	SET and MYND domain containing 4 	53	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.17	-0.17	0.82	2005, 2007, 2009, 2011
VEGFA	ENST00000372067.3	vascular endothelial growth factor A 	907	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.17	-0.20	0.70	2007, 2009, 2011
RCAN3	ENST00000374395.4	RCAN family member 3 	395	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.17	-0.23	0.45	
