Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
TERF1	ENST00000276602.6	telomeric repeat binding factor (NIMA-interacting) 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.13	0.23	2007, 2011
NUDT4	ENST00000337179.5	nudix (nucleoside diphosphate linked moiety X)-type motif 4 	41	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.13	-0.14	0.23	2009, 2011
CHD9	ENST00000566029.1	chromodomain helicase DNA binding protein 9 	447	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.13	-0.14	0.12	2009, 2011
ZNRF3	ENST00000544604.2	zinc and ring finger 3 	179	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.16	0.58	2009, 2011
GAB3	ENST00000369575.3	GRB2-associated binding protein 3 	39	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.13	0.51	2011
SLA	ENST00000338087.5	Src-like-adaptor 	5	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.13	-0.13	0.23	2005, 2007, 2009, 2011
ECT2L	ENST00000423192.1	epithelial cell transforming sequence 2 oncogene-like 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.13	< 0.1	2009, 2011
TBC1D15	ENST00000550746.1	TBC1 domain family, member 15 	1164	2	1	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.22	0.63	2011
PITPNM3	ENST00000421306.3	PITPNM family member 3 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.13	0.23	2011
PPTC7	ENST00000354300.3	PTC7 protein phosphatase homolog (S. cerevisiae) 	817	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.13	0.34	
DCUN1D3	ENST00000324344.4	DCN1, defective in cullin neddylation 1, domain containing 3 	53	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.12	-0.20	0.69	2007, 2009, 2011
KPNA4	ENST00000334256.4	karyopherin alpha 4 (importin alpha 3) 	111	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.12	-0.13	0.73	2005, 2007, 2009, 2011
VTI1A	ENST00000393077.2	vesicle transport through interaction with t-SNAREs 1A 	376	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.17	0.55	2007, 2009, 2011
CBL	ENST00000264033.4	Cbl proto-oncogene, E3 ubiquitin protein ligase 	309	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.12	-0.12	0.66	2011
ZC3H12B	ENST00000338957.4	zinc finger CCCH-type containing 12B 	29	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.12	-0.12	0.25	
UHRF1BP1L	ENST00000279907.7	UHRF1 binding protein 1-like 	369	2	1	1	0	1	0	1	0	2	hsa-miR-155-5p	-0.12	-0.22	0.44	
FAHD2A	ENST00000233379.4	fumarylacetoacetate hydrolase domain containing 2A 	9	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.22	0.84	
UBR1	ENST00000382177.2	ubiquitin protein ligase E3 component n-recognin 1 	11	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.12	-0.12	ORF	
CD99L2	ENST00000370377.3	CD99 molecule-like 2 	303	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.12	0.58	2011
PLD5	ENST00000536534.2	phospholipase D family, member 5 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.12	0.23	2011
PHC2	ENST00000431992.1	polyhomeotic homolog 2 (Drosophila) 	11	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.12	< 0.1	2009, 2011
MFAP3	ENST00000436816.1	microfibrillar-associated protein 3 	1139	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.12	-0.12	0.23	2011
SEC14L5	ENST00000251170.7	SEC14-like 5 (S. cerevisiae) 	5	1	1	0	0	2	0	2	0	0	hsa-miR-155-5p	-0.12	-0.12	0.34	2009, 2011
DHFR	ENST00000511032.1	dihydrofolate reductase 	5	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.12	-0.14	< 0.1	
UBQLN2	ENST00000338222.5	ubiquilin 2 	70	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.12	-0.12	0.41	
CYP7B1	ENST00000310193.3	cytochrome P450, family 7, subfamily B, polypeptide 1 	53	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.13	0.57	
TENM3	ENST00000511685.1	teneurin transmembrane protein 3 	30	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.12	-0.12	< 0.1	2007, 2011
ZDHHC20	ENST00000320220.9	zinc finger, DHHC-type containing 20 	1486	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.11	-0.12	< 0.1	
LRRC8B	ENST00000330947.2	leucine rich repeat containing 8 family, member B 	326	1	1	0	0	1	0	1	0	1	hsa-miR-155-5p	-0.11	-0.23	< 0.1	2011
LRP1B	ENST00000389484.3	low density lipoprotein receptor-related protein 1B 	26	2	1	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.13	0.38	2005, 2007, 2009, 2011
IL6R	ENST00000344086.4	interleukin 6 receptor 	13	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.19	0.45	2011
UST	ENST00000367463.4	uronyl-2-sulfotransferase 	933	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.12	0.47	2005, 2007, 2009, 2011
GRIP1	ENST00000398016.3	glutamate receptor interacting protein 1 	28	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.11	-0.19	0.34	
HCFC2	ENST00000229330.4	host cell factor C2 	46	2	0	1	1	0	0	0	0	1	hsa-miR-155-5p	-0.11	-0.22	0.54	2011
CD47	ENST00000361309.5	CD47 molecule 	520	1	0	1	0	1	0	0	1	1	hsa-miR-155-5p	-0.11	-0.29	0.25	2005, 2007, 2009
ELF4	ENST00000335997.7	E74-like factor 4 (ets domain transcription factor) 	69	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.34	
PDE3A	ENST00000359062.3	phosphodiesterase 3A, cGMP-inhibited 	1182	1	0	1	0	3	0	1	2	0	hsa-miR-155-5p	-0.11	-0.14	0.24	
C11orf30	ENST00000529032.1	chromosome 11 open reading frame 30 	230	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.11	-0.23	0.58	
SCN1A	ENST00000423058.2	sodium channel, voltage-gated, type I, alpha subunit 	21	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.23	2011
ITK	ENST00000422843.3	IL2-inducible T-cell kinase 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.23	2011
NAA50	ENST00000240922.3	N(alpha)-acetyltransferase 50, NatE catalytic subunit 	260	1	0	0	1	2	1	0	1	0	hsa-miR-155-5p	-0.11	-0.33	0.65	2011
MEX3B	ENST00000558133.1	mex-3 RNA binding family member B 	1401	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.47	2005, 2007, 2011
IPP	ENST00000396478.3	intracisternal A particle-promoted polypeptide 	216	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.53	
ARRB2	ENST00000575877.1	arrestin, beta 2 	158	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.36	2009, 2011
PEG3	ENST00000423103.2	paternally expressed 3 	5	1	0	1	0	1	0	0	1	1	hsa-miR-155-5p	-0.11	-0.11	0.28	2011
SUFU	ENST00000369902.3	suppressor of fused homolog (Drosophila) 	247	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.19	0.72	2011
FUBP1	ENST00000370767.1	far upstream element (FUSE) binding protein 1 	2021	1	0	0	1	1	0	1	0	1	hsa-miR-155-5p	-0.11	-0.29	0.39	2007, 2011
OSBPL2	ENST00000358053.2	oxysterol binding protein-like 2 	283	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.11	-0.11	0.43	2009, 2011
BRWD1	ENST00000342449.3	bromodomain and WD repeat domain containing 1 	96	1	0	1	0	1	0	0	1	1	hsa-miR-155-5p	-0.10	-0.15	0.23	2009, 2011
MMP16	ENST00000286614.6	matrix metallopeptidase 16 (membrane-inserted) 	12	1	1	0	0	1	0	1	0	1	hsa-miR-155-5p	-0.10	-0.10	< 0.1	
GPD1L	ENST00000282541.5	glycerol-3-phosphate dehydrogenase 1-like 	130	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.12	0.15	2011
CXorf23	ENST00000379687.3	chromosome X open reading frame 23 	30	1	0	1	0	1	0	1	0	1	hsa-miR-155-5p	-0.10	-0.18	0.23	2011
RREB1	ENST00000379938.2	ras responsive element binding protein 1 	340	1	0	1	0	2	0	1	1	0	hsa-miR-155-5p	-0.10	-0.10	0.52	2005, 2007, 2009, 2011
HOOK1	ENST00000371208.3	hook microtubule-tethering protein 1 	804	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.11	0.23	2009, 2011
TBX20	ENST00000408931.3	T-box 20 	0	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.10	-0.10	0.23	
SATB2	ENST00000417098.1	SATB homeobox 2 	820	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.10	-0.12	0.23	2011
MYLK	ENST00000360772.3	myosin light chain kinase 	2964	1	0	0	1	1	1	0	0	1	hsa-miR-155-5p	-0.10	-0.10	0.72	2009, 2011
YWHAZ	ENST00000395957.2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 	184	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.10	0.47	2005, 2007, 2009, 2011
CPEB4	ENST00000265085.5	cytoplasmic polyadenylation element binding protein 4 	472	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.10	0.23	
FAM126A	ENST00000409923.1	family with sequence similarity 126, member A 	241	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.10	-0.11	< 0.1	
CREB1	ENST00000432329.2	cAMP responsive element binding protein 1 	295	1	0	0	1	1	0	0	1	2	hsa-miR-155-5p	-0.10	-0.11	0.58	2011
DOK6	ENST00000382713.5	docking protein 6 	8	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.10	-0.10	0.40	2011
INPP5D	ENST00000455936.2	inositol polyphosphate-5-phosphatase, 145kDa 	22	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.10	0.10	2007, 2009, 2011
SMNDC1	ENST00000369603.5	survival motor neuron domain containing 1 	949	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.18	0.68	2005, 2007
RAPH1	ENST00000319170.5	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 	126	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.10	-0.41	0.12	2009, 2011
SIRT1	ENST00000212015.6	sirtuin 1 	220	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.10	0.23	2009, 2011
XIAP	ENST00000371199.3	X-linked inhibitor of apoptosis 	153	1	0	1	0	1	1	0	0	0	hsa-miR-155-5p	-0.10	-0.16	0.23	
ASTN1	ENST00000361833.2	astrotactin 1 	9	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.10	-0.10	0.23	2009
NR3C2	ENST00000344721.4	nuclear receptor subfamily 3, group C, member 2 	425	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.09	-0.09	0.40	
WNK3	ENST00000375169.3	WNK lysine deficient protein kinase 3 	55	1	0	1	0	1	0	1	0	1	hsa-miR-155-5p	-0.09	-0.09	0.41	2011
EEF2	ENST00000309311.6	eukaryotic translation elongation factor 2 	25580	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.09	-0.09	ORF	
KDM2A	ENST00000529006.2	lysine (K)-specific demethylase 2A 	729	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.09	-0.18	0.65	2011
RNF111	ENST00000348370.4	ring finger protein 111 	395	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.09	-0.11	0.36	2005, 2007
ETV1	ENST00000430479.1	ets variant 1 	160	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.09	-0.10	0.23	2009, 2011
RHOQ	ENST00000238738.4	ras homolog family member Q 	179	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.09	-0.09	0.50	2011
DOCK11	ENST00000276204.6	dedicator of cytokinesis 11 	40	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.08	-0.25	0.23	
NPHP3	ENST00000326682.8	nephronophthisis 3 (adolescent) 	44	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.08	-0.08	ORF	
SPIN3	ENST00000374919.3	spindlin family, member 3 	12	1	1	0	0	1	1	0	0	1	hsa-miR-155-5p	-0.08	-0.08	< 0.1	2009, 2011
PTPRD	ENST00000381196.4	protein tyrosine phosphatase, receptor type, D 	101	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.15	0.23	
IL17RB	ENST00000288167.3	interleukin 17 receptor B 	573	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.36	< 0.1	
ENTPD5	ENST00000334696.6	ectonucleoside triphosphate diphosphohydrolase 5 	105	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.19	< 0.1	
TBRG1	ENST00000441174.3	transforming growth factor beta regulator 1 	275	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.08	-0.30	< 0.1	2009, 2011
KCTD7	ENST00000275532.3	potassium channel tetramerization domain containing 7 	693	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.08	-0.08	0.50	2011
ENTPD7	ENST00000370489.4	ectonucleoside triphosphate diphosphohydrolase 7 	136	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.08	-0.09	0.49	2011
PLAG1	ENST00000316981.3	pleiomorphic adenoma gene 1 	58	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.08	-0.08	0.46	2005, 2007
AGFG1	ENST00000310078.8	ArfGAP with FG repeats 1 	2019	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.08	0.39	
PSKH1	ENST00000291041.5	protein serine kinase H1 	699	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.08	< 0.1	2005, 2007, 2009, 2011
KCNA1	ENST00000382545.3	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia) 	5	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.08	-0.08	0.30	2007, 2009, 2011
MID2	ENST00000262843.6	midline 2 	194	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.08	-0.08	0.41	2011
ZBTB18	ENST00000358704.4	zinc finger and BTB domain containing 18 	935	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.08	0.23	2005, 2007, 2009, 2011
SEC61A2	ENST00000379020.4	Sec61 alpha 2 subunit (S. cerevisiae) 	105	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.08	0.23	
SERTAD2	ENST00000313349.3	SERTA domain containing 2 	119	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.08	-0.09	0.50	2005, 2007, 2011
C6orf89	ENST00000480824.2	chromosome 6 open reading frame 89 	1972	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.08	-0.11	0.23	2011
ARID4A	ENST00000431317.2	AT rich interactive domain 4A (RBP1-like) 	33	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.07	0.23	2009, 2011
ACVR1	ENST00000263640.3	activin A receptor, type I 	1523	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.07	0.38	
RLIM	ENST00000332687.6	ring finger protein, LIM domain interacting 	662	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.07	-0.07	0.65	2011
EBF1	ENST00000313708.6	early B-cell factor 1 	42	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.08	0.43	2011
ELL2	ENST00000237853.4	elongation factor, RNA polymerase II, 2 	397	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.07	0.23	2005, 2007, 2009, 2011
TFDP2	ENST00000499676.2	transcription factor Dp-2 (E2F dimerization partner 2) 	128	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.14	0.57	2011
ELAVL4	ENST00000371824.1	ELAV like neuron-specific RNA binding protein 4 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.07	0.23	
ULK2	ENST00000395544.4	unc-51 like autophagy activating kinase 2 	489	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.07	-0.08	0.47	2011
ATAD2B	ENST00000238789.5	ATPase family, AAA domain containing 2B 	11	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.07	-0.11	0.27	
CSF2RB	ENST00000403662.3	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) 	5	1	0	0	1	0	0	0	0	2	hsa-miR-155-5p	-0.07	-0.07	0.48	2011
ANKRD6	ENST00000369408.5	ankyrin repeat domain 6 	52	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.07	-0.27	< 0.1	2011
PIAS1	ENST00000249636.6	protein inhibitor of activated STAT, 1 	368	1	1	0	0	1	0	0	1	2	hsa-miR-155-5p	-0.07	-0.21	< 0.1	
BCORL1	ENST00000540052.1	BCL6 corepressor-like 1 	209	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.07	-0.08	0.23	2005, 2007, 2009, 2011
PARD3B	ENST00000406610.2	par-3 family cell polarity regulator beta 	38	1	1	0	0	2	0	1	1	0	hsa-miR-155-5p	-0.07	-0.07	< 0.1	2011
ALG6	ENST00000371108.4	ALG6, alpha-1,3-glucosyltransferase 	140	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.29	0.47	
PTPRJ	ENST00000418331.2	protein tyrosine phosphatase, receptor type, J 	145	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.06	-0.13	0.47	2011
NFASC	ENST00000401399.1	neurofascin 	10	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.06	0.64	2009, 2011
ELAVL2	ENST00000380110.4	ELAV like neuron-specific RNA binding protein 2 	78	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.07	0.41	2007
ZMYM2	ENST00000382869.3	zinc finger, MYM-type 2 	172	1	0	1	0	3	0	2	1	1	hsa-miR-155-5p	-0.06	-0.11	0.28	2007, 2009, 2011
APC	ENST00000457016.1	adenomatous polyposis coli 	794	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.09	0.54	2011
PIK3R1	ENST00000521381.1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) 	217	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.07	0.23	2009, 2011
UBTD2	ENST00000393792.2	ubiquitin domain containing 2 	297	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.06	-0.27	< 0.1	
TGFBR2	ENST00000359013.4	transforming growth factor, beta receptor II (70/80kDa) 	2168	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.06	0.23	2009, 2011
NUFIP2	ENST00000225388.4	nuclear fragile X mental retardation protein interacting protein 2 	440	1	0	1	0	1	0	1	0	3	hsa-miR-155-5p	-0.06	-0.07	0.41	2007, 2009, 2011
F13A1	ENST00000264870.3	coagulation factor XIII, A1 polypeptide 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.06	-0.06	0.23	2009, 2011
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	1	0	1	0	1	0	1	0	1	hsa-miR-155-5p	-0.06	-0.06	0.23	2011
HELZ	ENST00000358691.5	helicase with zinc finger 	571	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.06	-0.08	0.41	
RDX	ENST00000343115.4	radixin 	44	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.11	< 0.1	
SH3PXD2A	ENST00000369774.4	SH3 and PX domains 2A 	152	1	0	0	1	0	0	0	0	3	hsa-miR-155-5p	-0.05	-0.06	0.54	2009, 2011
ZBTB39	ENST00000300101.2	zinc finger and BTB domain containing 39 	7	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.05	-0.05	0.23	2011
KIAA1468	ENST00000398130.2	KIAA1468 	756	1	0	1	0	0	0	0	0	2	hsa-miR-155-5p	-0.05	-0.06	0.23	2007
BDNF	ENST00000439476.2	brain-derived neurotrophic factor 	2696	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.05	-0.19	0.68	2005, 2007, 2009, 2011
CACNB4	ENST00000539935.1	calcium channel, voltage-dependent, beta 4 subunit 	57	1	0	1	0	1	0	0	1	2	hsa-miR-155-5p	-0.05	-0.14	0.42	
CLCN5	ENST00000376088.3	chloride channel, voltage-sensitive 5 	154	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.10	0.23	2009, 2011
MARK2	ENST00000402010.2	MAP/microtubule affinity-regulating kinase 2 	845	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.05	0.36	2011
RAB30	ENST00000533486.1	RAB30, member RAS oncogene family 	274	1	0	1	0	0	0	0	0	3	hsa-miR-155-5p	-0.05	-0.05	0.23	
SHANK2	ENST00000449833.2	SH3 and multiple ankyrin repeat domains 2 	26	1	0	1	0	1	0	1	0	1	hsa-miR-155-5p	-0.05	-0.09	0.23	2009, 2011
RAB3B	ENST00000371655.3	RAB3B, member RAS oncogene family 	611	1	0	1	0	3	0	1	2	0	hsa-miR-155-5p	-0.05	-0.26	0.34	2011
MYPN	ENST00000358913.5	myopalladin 	73	2	1	1	0	2	0	1	1	1	hsa-miR-155-5p	-0.05	-0.12	0.48	
ACVR2A	ENST00000241416.7	activin A receptor, type IIA 	109	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.12	0.23	2007, 2011
IRF2BP2	ENST00000366610.3	interferon regulatory factor 2 binding protein 2 	8690	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.39	0.39	2009, 2011
MBD5	ENST00000407073.1	methyl-CpG binding domain protein 5 	7	1	0	1	0	3	1	1	1	3	hsa-miR-155-5p	-0.05	-0.23	0.42	
SMUG1	ENST00000505128.1	single-strand-selective monofunctional uracil-DNA glycosylase 1 	242	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.31	0.71	
ZNF644	ENST00000370440.1	zinc finger protein 644 	40	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.14	0.53	2005, 2007, 2009, 2011
RPS6KA5	ENST00000261991.3	ribosomal protein S6 kinase, 90kDa, polypeptide 5 	64	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.05	-0.25	0.78	
USP14	ENST00000261601.7	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) 	561	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.05	-0.26	0.23	2011
SHH	ENST00000297261.2	sonic hedgehog 	32	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.05	-0.13	0.73	
CHD7	ENST00000423902.2	chromodomain helicase DNA binding protein 7 	925	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.05	-0.05	0.23	2011
FBXO22	ENST00000308275.3	F-box protein 22 	1310	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.05	-0.49	< 0.1	2011
N4BP1	ENST00000262384.3	NEDD4 binding protein 1 	105	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.06	0.23	2005, 2007, 2009, 2011
CACNA1C	ENST00000399655.1	calcium channel, voltage-dependent, L type, alpha 1C subunit 	69	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.06	0.72	2011
TRAF3	ENST00000560371.1	TNF receptor-associated factor 3 	833	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.06	0.23	2011
CNGB3	ENST00000320005.5	cyclic nucleotide gated channel beta 3 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.04	0.23	
WNK1	ENST00000315939.6	WNK lysine deficient protein kinase 1 	950	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.04	0.23	2009, 2011
PTPN4	ENST00000263708.2	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte) 	215	1	0	1	0	1	0	0	1	3	hsa-miR-155-5p	-0.04	-0.07	0.30	
NMT2	ENST00000378165.4	N-myristoyltransferase 2 	318	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.04	-0.10	< 0.1	
UBN2	ENST00000473989.3	ubinuclein 2 	238	1	0	1	0	1	0	0	1	1	hsa-miR-155-5p	-0.04	-0.04	0.23	
SOX11	ENST00000322002.3	SRY (sex determining region Y)-box 11 	1100	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.21	0.23	2005, 2007, 2009, 2011
TCHP	ENST00000405876.4	trichoplein, keratin filament binding 	140	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.04	-0.19	0.12	
SMURF2	ENST00000262435.9	SMAD specific E3 ubiquitin protein ligase 2 	978	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.03	-0.15	0.23	
CBFA2T2	ENST00000375279.2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2 	107	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.03	-0.06	0.23	
EXOSC7	ENST00000265564.7	exosome component 7 	347	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.03	-0.23	< 0.1	
ST8SIA2	ENST00000268164.3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 	9	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.03	-0.03	0.23	2009, 2011
ADAM10	ENST00000260408.3	ADAM metallopeptidase domain 10 	385	1	0	0	1	0	0	0	0	2	hsa-miR-155-5p	-0.03	-0.20	0.55	
PSMG1	ENST00000331573.3	proteasome (prosome, macropain) assembly chaperone 1 	31	1	0	1	0	1	1	0	0	0	hsa-miR-155-5p	-0.03	-0.19	0.23	
RFX3	ENST00000382004.3	regulatory factor X, 3 (influences HLA class II expression) 	37	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.03	-0.05	< 0.1	
GPM6B	ENST00000454189.2	glycoprotein M6B 	135	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.03	-0.28	0.38	2005, 2007, 2009, 2011
ERN1	ENST00000433197.3	endoplasmic reticulum to nucleus signaling 1 	182	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.03	-0.03	0.23	
GSK3B	ENST00000264235.8	glycogen synthase kinase 3 beta 	498	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.03	-0.11	0.49	2011
